Length_in,L_over_D,old86_N,x_min,x_max,Graw_min,Graw_max,PM_noF1_old86_mean,PM_F1_old86_mean
6.0,80.0,13,-0.075,0.001,1.8,2.89,0.9139188986259861,1.1006737628503378
11.625,64.58333333333334,25,0.061,0.137,2.03,3.0,0.28789535660444093,0.9247621349014535
12.0,64.51612903225806,16,-0.191,0.081,2.02,3.0,0.7486332654233395,1.0156541636038703
12.5,66.84491978609626,24,-0.457,0.13,2.03,2.93,0.7143875172346309,0.9657199394776129
23.25,75.98039215686275,8,0.033,0.083,2.04,2.25,0.48294208095003227,0.9891768170565393
