No_TableNo,ExptNo,ExptNo_norm,PM,Tsub,x,G_kg_m2s,G_Mlb_ft2h,LD,old86_member,policy_class,high_PM,deep_subcooled,scope_A_Gle4200,scope_B_Gle4200_LDge40,scope_C_B_xgtm020,scope_D_old86like_lowX,q_M_MWm2_result,q_P_MWm2,dq_ratio_pct_result,log_message,fit,resid,x_bin,LD_bin
136.01_10,136.01,136.01,1.1306194974413708,75.46157701295215,-0.039,2793.8338,2.06,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.18929552,4.736499195455786,-0.5423637626533144,収束 (|dq_ratio|<1%)  (f_solver=0),1.0507621021008873,0.07985739534048353,-0.10<x<=0,60<=LD<70
137.01_10,137.01,137.01,1.142431618992315,77.09689440382374,-0.036,2797.90249,2.063,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.31232453,4.926535894428173,0.5403904452571562,収束 (|dq_ratio|<1%)  (f_solver=0),1.069538554935063,0.07289306405725204,-0.10<x<=0,60<=LD<70
138.01_10,138.01,138.01,1.108769460004808,75.46157701295215,-0.033,2797.90249,2.063,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.2586965,4.721912618629366,-0.973253513439539,収束 (|dq_ratio|<1%)  (f_solver=0),1.0507621021008873,0.05800735790392064,-0.10<x<=0,60<=LD<70
139.01_10,139.01,139.01,1.1335405436405428,76.56717653219835,-0.039,2820.9584,2.08,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.28393322,4.856011991118581,-0.7370088098814819,収束 (|dq_ratio|<1%)  (f_solver=0),1.0634787189716035,0.07006182466893929,-0.10<x<=0,60<=LD<70
14.01_10,14.01,14.01,1.3520841914432156,116.0762191069394,-0.048,3119.329,2.3000000000000003,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,5.5205325,7.464224721598494,0.2070985207298266,収束 (|dq_ratio|<1%)  (f_solver=0),1.4568122201389135,-0.10472802869569797,-0.10<x<=0,80<=LD<120
140.01_10,140.01,140.01,1.1661565613840124,77.67546587553511,-0.045,2834.5207,2.09,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.2902424,5.0030943246878925,0.0034585697369281,収束 (|dq_ratio|<1%)  (f_solver=0),1.0761328476606329,0.09002371372337947,-0.10<x<=0,60<=LD<70
141.01_10,141.01,141.01,1.7657520451572235,128.8193242292905,-0.191,3417.6996,2.52,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,6.2145423,10.973340775941075,0.3136504604718872,収束 (|dq_ratio|<1%)  (f_solver=0),1.5583229297926324,0.20742911536459108,-0.20<x<=-0.10,60<=LD<70
142.01_10,142.01,142.01,1.1602147592744096,73.21081352671627,-0.059,3451.60535,2.545,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.731885,5.490002816189191,-0.0339942427337829,収束 (|dq_ratio|<1%)  (f_solver=0),1.0245861504493496,0.13562860882506,-0.10<x<=0,60<=LD<70
144.01_10,144.01,144.01,1.1978769026901763,70.92420249940028,-0.082,4068.69,3.0,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,5.0157981,6.008308692547271,-0.708482856115632,収束 (|dq_ratio|<1%)  (f_solver=0),0.997598243006726,0.20027865968345038,-0.10<x<=0,60<=LD<70
145.01_10,145.01,145.01,1.784314835756727,128.29772162697628,-0.202,4109.3769,3.03,64.51612903225808,False,B_deep_x<=-0.20,False,True,True,True,False,False,7.255556999999999,12.946197996778569,0.3373720653237075,収束 (|dq_ratio|<1%)  (f_solver=0),1.5544106101889454,0.22990422556778145,x<=-0.20,60<=LD<70
146.01_10,146.01,146.01,0.1135786841963328,21.424642698647403,0.043,4163.626099999999,3.069999999999999,64.51612903225808,False,B_main_x>-0.20,False,False,True,True,True,False,3.059952299999999,0.3475453559375421,-0.9729485283103984,収束 (|dq_ratio|<1%)  (f_solver=0),0.31576976738241386,-0.20219108318608106,0<x<=0.05,60<=LD<70
15.01_10,15.01,15.01,1.4666255843196985,149.42602102406886,-0.071,3132.8913,2.31,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,6.7508226,9.900929140363626,-0.3910424877074285,収束 (|dq_ratio|<1%)  (f_solver=0),1.6963069271497657,-0.22968134283006725,-0.10<x<=0,80<=LD<120
150.01_10,150.01,150.01,1.0807270085888994,68.13071600661715,0.041,520.79232,0.384,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,0.8517393,0.9204976657866032,-0.9326316078631304,収束 (|dq_ratio|<1%)  (f_solver=0),0.9640875417335731,0.11663946685532622,0<x<=0.05,60<=LD<70
152.01_10,152.01,152.01,1.058930953874542,70.35448789359657,0.049,644.20925,0.475,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,1.1009519099999998,1.1658320562262987,0.1730496372109256,収束 (|dq_ratio|<1%)  (f_solver=0),0.9908121791762446,0.0681187746982973,0<x<=0.05,60<=LD<70
154.01_10,154.01,154.01,1.853006511199896,276.16725943459306,-0.189,782.54471,0.577,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,3.2176818,5.962385326369401,-0.0650957104218938,収束 (|dq_ratio|<1%)  (f_solver=0),1.8338877247346121,0.019118786465283755,-0.20<x<=-0.10,60<=LD<70
16.01_10,16.01,16.01,1.1730140094852546,80.4334779483512,-0.027,3146.4536,2.32,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,4.164058799999999,4.884499308720358,0.0653706673227114,収束 (|dq_ratio|<1%)  (f_solver=0),1.107217010109197,0.06579699937605765,-0.10<x<=0,80<=LD<120
161.01_10,161.01,161.01,1.5709889842154725,122.21707720506936,-0.093,1019.88496,0.752,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,2.0820294,3.270845252212749,0.878898877562823,収束 (|dq_ratio|<1%)  (f_solver=0),1.5072736472877502,0.06371533692772235,-0.10<x<=0,60<=LD<70
164.01_10,164.01,164.01,1.4179641588165113,160.48483099578448,-0.005,1063.28432,0.7839999999999999,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,3.2176818,4.562557466876197,0.8455953727853107,収束 (|dq_ratio|<1%)  (f_solver=0),1.7570236825407854,-0.33905952372427417,-0.10<x<=0,60<=LD<70
