selection,N,PM_mean,PM_std,PM_median,PM_min,PM_max,highPM_N_PMge2p2,deep_N_xle_m020,Ggt4200_N,old86_overlap_N,Tsub_min,Tsub_max,x_min,x_max,G_min,G_max,LD_min,LD_max,R2_PM_Tsub_linear,R2_PM_Tsub_quad,R2_PM_x_linear,R2_PM_LD_linear,R2_PM_Tsub_x_LD
all_current187,187,1.3935848969264446,0.6391883038117518,1.353475742387643,0.0735487784385007,3.6053610399898135,26,41,70,47,20.88259301344499,313.18434543454475,-0.459,0.05,520.79232,10565.0317,20.97902097902098,365.3333333333333,0.41828262042041153,0.6960611489133397,0.7739614273751343,0.003818479804624464,0.831996544040114
G_le_4200_PWR_scope_candidate,117,1.3725898711787883,0.4428662342784811,1.353475742387643,0.1135786841963328,2.721081299499212,4,12,0,47,21.424642698647403,313.18434543454475,-0.457,0.049,520.79232,4163.626099999999,20.97902097902098,365.3333333333333,0.4551961630342821,0.7202765691478301,0.7676969286976507,0.02040436527223055,0.8401133301922237
G_le_4200_and_x_gt_m020_main_D,105,1.2782922943165242,0.3507315500538901,1.3017638017483473,0.1135786841963328,1.853006511199896,0,0,0,42,21.424642698647403,313.18434543454475,-0.191,0.049,520.79232,4163.626099999999,20.97902097902098,365.3333333333333,0.5528915665710042,0.863388990361406,0.6834747049885552,0.1139061043047398,0.8303850072710861
G_le_4200_and_x_le_m020_deep_B,12,2.197693668723596,0.27873201251328206,2.157302939002233,1.784314835756727,2.721081299499212,4,12,0,5,86.04557897376492,299.93981302215946,-0.457,-0.202,1213.82585,4109.3769,20.97902097902098,66.84491978609626,0.021251846867478053,0.06849068353337617,0.2964166806175498,0.5815161806743708,0.9825847697333762
G_gt_4200_PWR_out_AplusC,70,1.4286765828189563,0.8772780972918673,1.3279351757683873,0.0735487784385007,3.6053610399898135,22,29,70,0,20.88259301344499,256.20145638583585,-0.459,0.05,4204.313,10565.0317,20.97902097902098,108.8495575221239,0.669939847433555,0.7784275093538684,0.9013124864927246,0.0014830607159789233,0.9061895903323158
x_le_m020_and_G_gt4200_A,29,2.316822947225909,0.4465320102779038,2.272600294731405,1.588015902634939,3.6053610399898135,22,29,29,0,69.83293932221864,256.20145638583585,-0.459,-0.202,4773.9296,10524.3448,20.97902097902098,108.8495575221239,0.036785732807882776,0.059101881497794606,0.5246255702957667,0.16434756397044425,0.8785333360582137
G_le_4200_and_LD_ge70,58,1.272330625328975,0.3495542491409762,1.335766482942817,0.435151931201948,1.7542552525649588,0,0,0,17,33.60109799971622,313.18434543454475,-0.153,0.049,1193.4824,3933.067,75.98039215686275,365.3333333333333,0.7318696866641197,0.9611763689047179,0.7878085746212334,0.25302167478415794,0.8622241196171526
G_le_4200_and_LD_ge80,39,1.4475959468813873,0.2154146620818239,1.4577718640475934,0.9982901984304464,1.7542552525649588,0,0,0,13,66.99992038726407,313.18434543454475,-0.153,0.001,1301.9808,3933.067,80.0,365.3333333333333,0.8251706363264243,0.9643084788429811,0.7081792477669226,0.2796789820014981,0.9436000248329671
G_le_4200_and_64leLDle80,95,1.2990343342194943,0.42559974515592547,1.2599022384263956,0.1135786841963328,2.4704383105441856,2,10,0,47,21.424642698647403,299.93981302215946,-0.457,0.049,520.79232,4163.626099999999,64.51612903225806,80.0,0.7910236675297193,0.8959631752871953,0.8039265194405756,0.06368037603632826,0.8667403311130134
