ExptNo_norm,Dia_in,Length_in,L_over_D,G_raw,G_kg_m2_s,InletSubcool_BTUlb,qM,qM_over_Graw,x,flag_norm,lowX_le_005,old86_member
137.01,0.186,12.0,64.51612903225806,2.063,2797.0524274076797,187.7,1.367,0.6626272418807562,-0.036,none,True,True
138.01,0.186,12.0,64.51612903225806,2.063,2797.0524274076797,184.3,1.35,0.6543868153174988,-0.033,none,True,True
139.01,0.186,12.0,64.51612903225806,2.08,2820.101332529313,186.6,1.358,0.6528846153846154,-0.039,none,True,True
140.01,0.186,12.0,64.51612903225806,2.09,2833.6595120126267,188.9,1.36,0.6507177033492824,-0.045,none,True,True
141.01,0.186,12.0,64.51612903225806,2.52,3416.661229795129,290.4,1.97,0.7817460317460317,-0.191,none,True,True
142.01,0.186,12.0,64.51612903225806,2.545,3450.556678503414,179.6,1.5,0.5893909626719057,-0.059,none,True,True
143.01,0.186,12.0,64.51612903225806,2.64,3579.3593835948973,61.4,1.01,0.38257575757575757,0.081,none,False,True
144.01,0.186,12.0,64.51612903225806,3.0,4067.453844994201,174.8,1.59,0.53,-0.082,none,True,True
192.01,0.187,12.5,66.84491978609626,2.03,2752.3104351127427,57.3,0.845,0.416256157635468,0.117,none,False,True
193.01,0.187,12.5,66.84491978609626,2.11,2860.7758709792547,123.7,1.17,0.5545023696682464,0.053,none,False,True
194.01,0.187,12.5,66.84491978609626,2.11,2860.7758709792547,89.0,0.992,0.47014218009478675,0.079,none,False,True
195.01,0.187,12.5,66.84491978609626,2.11,2860.7758709792547,90.3,1.03,0.48815165876777256,0.087,none,False,True
196.01,0.187,12.5,66.84491978609626,2.24,3037.032204262337,155.5,1.362,0.6080357142857142,0.015,none,True,True
197.01,0.187,12.5,66.84491978609626,2.39,3240.404896512048,184.3,1.59,0.6652719665271967,-0.014,none,True,True
198.01,0.187,12.5,66.84491978609626,2.4,3253.963075995361,186.6,1.3,0.5416666666666667,-0.09,none,True,True
199.01,0.187,12.5,66.84491978609626,2.5,3389.544870828501,246.3,1.68,0.6719999999999999,-0.144,none,True,True
200.01,0.187,12.5,66.84491978609626,2.5,3389.544870828501,192.3,1.68,0.6719999999999999,-0.027,none,True,True
201.01,0.187,12.5,66.84491978609626,2.51,3403.103050311815,277.7,1.85,0.7370517928286854,-0.174,none,True,True
