condition,role,N,G_min,G_max,G_mean,x_min,x_max,x_mean,Tsub_min,Tsub_max,Tsub_mean,PM_mean,PM_median,PM_std,PM_min,PM_max,corr_PM_Tsub,corr_PM_x,corr_PM_G,model,features,R2,intercept,coef_Tsub_K,notes,coef_x_use,coef_G,coef_Gx_pos
A_x_le_0p05_allG,main,187,520.79232,10565.0317,4003.4604137967913,-0.459,0.05,-0.11041176470588236,20.88259301344499,313.18434543454475,120.90383303010442,1.3935848969264444,1.353475742387643,0.6391883038117517,0.0735487784385007,3.6053610399898135,0.6467477254853023,-0.8797507757172682,0.12175302522265058,Tsub,Tsub_K,0.41828262042041153,0.7408830189785405,0.005398520969847044,,,,
A_x_le_0p05_allG,main,187,520.79232,10565.0317,4003.4604137967913,-0.459,0.05,-0.11041176470588236,20.88259301344499,313.18434543454475,120.90383303010442,1.3935848969264444,1.353475742387643,0.6391883038117517,0.0735487784385007,3.6053610399898135,0.6467477254853023,-0.8797507757172682,0.12175302522265058,x,x_use,0.7739614273751342,0.9358292930723002,,,-4.145895186745049,,
A_x_le_0p05_allG,main,187,520.79232,10565.0317,4003.4604137967913,-0.459,0.05,-0.11041176470588236,20.88259301344499,313.18434543454475,120.90383303010442,1.3935848969264444,1.353475742387643,0.6391883038117517,0.0735487784385007,3.6053610399898135,0.6467477254853023,-0.8797507757172682,0.12175302522265058,G,G,0.0148237991508674,1.2667199188976324,,,,3.168883039073113e-05,
A_x_le_0p05_allG,main,187,520.79232,10565.0317,4003.4604137967913,-0.459,0.05,-0.11041176470588236,20.88259301344499,313.18434543454475,120.90383303010442,1.3935848969264444,1.353475742387643,0.6391883038117517,0.0735487784385007,3.6053610399898135,0.6467477254853023,-0.8797507757172682,0.12175302522265058,Gx_pos,Gx_pos,0.2978835889873067,1.5276264607002104,,,,,-0.008443050848078774
A_x_le_0p05_allG,main,187,520.79232,10565.0317,4003.4604137967913,-0.459,0.05,-0.11041176470588236,20.88259301344499,313.18434543454475,120.90383303010442,1.3935848969264444,1.353475742387643,0.6391883038117517,0.0735487784385007,3.6053610399898135,0.6467477254853023,-0.8797507757172682,0.12175302522265058,Tsub+x,Tsub_K+x_use,0.8276940554519557,0.7353720629168906,0.002246691474763458,,-3.501250288901478,,
A_x_le_0p05_allG,main,187,520.79232,10565.0317,4003.4604137967913,-0.459,0.05,-0.11041176470588236,20.88259301344499,313.18434543454475,120.90383303010442,1.3935848969264444,1.353475742387643,0.6391883038117517,0.0735487784385007,3.6053610399898135,0.6467477254853023,-0.8797507757172682,0.12175302522265058,Tsub+G,Tsub_K+G,0.4783574137876184,0.4346772053327977,0.005782011469628598,,,6.490393695315571e-05,
A_x_le_0p05_allG,main,187,520.79232,10565.0317,4003.4604137967913,-0.459,0.05,-0.11041176470588236,20.88259301344499,313.18434543454475,120.90383303010442,1.3935848969264444,1.353475742387643,0.6391883038117517,0.0735487784385007,3.6053610399898135,0.6467477254853023,-0.8797507757172682,0.12175302522265058,x+G,x_use+G,0.8344367107470827,1.159730692427102,,,-4.644441961296908,-6.967642981158453e-05,
A_x_le_0p05_allG,main,187,520.79232,10565.0317,4003.4604137967913,-0.459,0.05,-0.11041176470588236,20.88259301344499,313.18434543454475,120.90383303010442,1.3935848969264444,1.353475742387643,0.6391883038117517,0.0735487784385007,3.6053610399898135,0.6467477254853023,-0.8797507757172682,0.12175302522265058,Tsub+x+G,Tsub_K+x_use+G,0.8509061604280816,0.967580514065403,0.0014238943950108727,,-4.090916381056094,-4.9416051059398e-05,
A_x_le_0p05_allG,main,187,520.79232,10565.0317,4003.4604137967913,-0.459,0.05,-0.11041176470588236,20.88259301344499,313.18434543454475,120.90383303010442,1.3935848969264444,1.353475742387643,0.6391883038117517,0.0735487784385007,3.6053610399898135,0.6467477254853023,-0.8797507757172682,0.12175302522265058,Tsub+x+Gx_pos,Tsub_K+x_use+Gx_pos,0.851603140757996,0.8467680289235899,0.0018927526267811584,,-3.26718981711633,,-0.0026934033923969175
B_x_le_0p05_G_le_4200,main_upper_sensitivity,117,520.79232,4163.626099999999,2467.712647692307,-0.457,0.049,-0.07476923076923078,21.424642698647403,313.18434543454475,133.17394286140015,1.372589871178788,1.353475742387643,0.4428662342784811,0.1135786841963328,2.721081299499212,0.6746822682079932,-0.8761831593323689,-0.1194449558301743,Tsub,Tsub_K,0.45519616303428223,0.8821336443198737,0.0036828242546618423,,,,
B_x_le_0p05_G_le_4200,main_upper_sensitivity,117,520.79232,4163.626099999999,2467.712647692307,-0.457,0.049,-0.07476923076923078,21.424642698647403,313.18434543454475,133.17394286140015,1.372589871178788,1.353475742387643,0.4428662342784811,0.1135786841963328,2.721081299499212,0.6746822682079932,-0.8761831593323689,-0.1194449558301743,x,x_use,0.7676969286976507,1.08159623762589,,,-3.89189016068691,,
