ExptNo_norm,Tsub,x,G_kg_m2s,PM_noF1_old86,PM_F1_old86,Tsub_F1,x_F1,G_kg_m2s_F1,x_le_005,in_current187
10.01,109.229609981511,-0.055,2454.36,1.0316230181905,1.17538420858668,109.229609981511,-0.055,2454.36,True,True
11.01,113.109650695185,-0.033,3037.44,0.920759499261648,1.03992094077332,113.109650695185,-0.033,3037.44,True,True
12.01,149.73824816216,-0.075,3118.8,0.99008968682725,1.01599830533369,149.73824816216,-0.075,3118.8,True,True
129.01,125.280873969135,-0.159,2739.12,0.968225445845572,1.04516278622548,125.280873969135,-0.159,2739.12,True,True
13.01,116.95802495999,-0.036,3118.8,0.924298562785554,1.02025744101284,116.95802495999,-0.036,3118.8,True,True
130.01,34.981133756935,0.052,2759.46,0.52731818002029,1.00423671485211,34.981133756935,0.052,2759.46,False,False
131.01,75.772394947606,-0.031,2759.46,0.755798487644191,1.01529378683269,75.772394947606,-0.031,2759.46,True,True
132.01,76.349291711919,-0.036,2759.46,0.761345658334457,1.01232533741833,76.349291711919,-0.036,2759.46,True,True
133.01,75.772394947606,-0.032,2766.24,0.756674228508395,1.00527004710447,75.772394947606,-0.032,2766.24,True,True
134.01,75.772394947606,-0.037,2779.8,0.756330188368687,1.01814372769307,75.772394947606,-0.037,2779.8,True,True
135.01,74.093960955671,-0.037,2793.36,0.76477349321747,1.04156518475003,74.093960955671,-0.037,2793.36,True,True
136.01,75.772394947606,-0.039,2793.36,0.771009416228717,1.04004098618932,75.772394947606,-0.039,2793.36,True,True
137.01,77.408813648879,-0.036,2797.428,0.752227482755437,1.01018748874655,77.408813648879,-0.036,2797.428,True,True
138.01,75.772394947606,-0.033,2797.428,0.755208211804264,1.01488434764253,75.772394947606,-0.033,2797.428,True,True
139.01,76.734292249819,-0.039,2820.48,0.759902952407123,1.01590567239146,76.734292249819,-0.039,2820.48,True,True
14.01,116.392420202586,-0.048,3118.8,0.942917729607907,1.04800583599547,116.392420202586,-0.048,3118.8,True,True
140.01,77.9877505581291,-0.045,2834.04,0.772291117990636,1.02039953423789,77.9877505581291,-0.045,2834.04,True,True
141.01,129.133044361492,-0.191,3417.12,0.967236394709294,1.01704722841797,129.133044361492,-0.191,3417.12,True,True
142.01,73.51994694686,-0.059,3451.02,0.761998590637048,1.02943477322421,73.51994694686,-0.059,3451.02,True,True
143.01,21.645417670491,0.081,3579.84,0.374627291849199,0.881916607313506,21.645417670491,0.081,3579.84,False,False
144.01,71.2314194261591,-0.082,4068.0,0.773165106452652,1.07865239462231,71.2314194261591,-0.082,4068.0,True,True
15.01,149.73824816216,-0.071,3132.36,0.995558051762226,1.01926284840258,149.73824816216,-0.071,3132.36,True,True
16.01,80.747335277052,-0.027,3145.92,0.893789290786576,1.17167672238628,80.747335277052,-0.027,3145.92,True,True
17.01,75.772394947606,-0.026,3145.92,0.893801378103543,1.20830006084716,75.772394947606,-0.026,3145.92,True,True
18.01,67.303353633147,0.001,3634.08,0.791178903550168,1.13826683364875,67.303353633147,0.001,3634.08,True,True
19.01,74.620793318286,-0.018,3851.04,0.821859351511734,1.12239995683735,74.620793318286,-0.018,3851.04,True,True
192.01,20.0607617856519,0.117,2752.68,0.340723633887853,0.824891232865793,20.0607617856519,0.117,2752.68,False,False
193.01,47.7012082859781,0.053,2861.16,0.564871426632673,0.946423611303599,47.7012082859781,0.053,2861.16,False,False
194.01,32.7636913924169,0.079,2861.16,0.471707352970438,0.922812988390216,32.7636913924169,0.079,2861.16,False,False
195.01,33.305294471072,0.087,2861.16,0.463384279235787,0.890914974939776,33.305294471072,0.087,2861.16,False,False
196.01,62.157068361454,0.015,3037.44,0.645202502208996,0.953037344038123,62.157068361454,0.015,3037.44,True,True
