x_lower_cut_keep_x_gt,condition,N,PM_mean,x_min,x_max,R2_PM_Tsub_poly1,RMSE_PM_Tsub_poly1,R2_PM_Tsub_poly2,RMSE_PM_Tsub_poly2,R2_PM_x_poly1,RMSE_PM_x_poly1,R2_PM_x_poly2,RMSE_PM_x_poly2,R2_PM_G_kg_m2s_poly1,RMSE_PM_G_kg_m2s_poly1,R2_PM_G_kg_m2s_poly2,RMSE_PM_G_kg_m2s_poly2
-inf,allG,187,1.3935848969264444,-0.459,0.05,0.4182826204204114,0.4862062170887928,0.6960611489133397,0.3514451845178628,0.7739614273751342,0.30307894468120455,0.789510069861173,0.29246920881873967,0.0148237991508674,0.6327343967503328,0.030336933123985887,0.6277329353054425
-inf,G<=4200,117,1.372589871178788,-0.457,0.049,0.45519616303428223,0.3254833010047825,0.7202765691478302,0.23322390153008454,0.7676969286976507,0.21253776481872402,0.8111916741355935,0.19161045573407037,0.014267097473272483,0.4378126034732946,0.015290394812668473,0.4375852960541766
-inf,G>4200,70,1.4286765828189563,-0.459,0.05,0.669939847433555,0.500390850343864,0.7784275093538682,0.4099876094163535,0.9013124864927244,0.27361752826891317,0.9113723407818276,0.2592969757659299,0.06469513300417673,0.8423438494204392,0.13635688358107279,0.8094312547814466
-0.4,allG,178,1.3252553662151711,-0.396,0.05,0.430665343581767,0.4287510103729239,0.7210046753803148,0.3001371876378978,0.7280468726133283,0.2963250557384498,0.7538786278728783,0.2819006062430777,3.302085891909723e-05,0.5682169380686317,0.03371170288392433,0.5585662692177413
-0.4,G<=4200,116,1.3631256604946036,-0.359,0.049,0.4455329123627405,0.3208382481276052,0.7193032187738257,0.22827952831030227,0.7627405856878207,0.2098746462891669,0.801963342318672,0.19174367382109703,0.024127447678998215,0.4256423200702365,0.0241658481306809,0.42563394550426364
-0.4,G>4200,62,1.2544012672407496,-0.396,0.05,0.6857729893099994,0.42392958638868733,0.783302693540808,0.3520454429621591,0.8946368730896977,0.24548010246653074,0.9091104954129748,0.22799684564736789,0.07706182891080815,0.726537900265117,0.13984559998631152,0.701390982561353
-0.35,allG,171,1.288858161528099,-0.338,0.05,0.3980592436194008,0.4265890842045363,0.7011306406644696,0.3005893295609499,0.7128890146504285,0.2946169765164698,0.7282244787612894,0.28664081642271366,0.0041464627120030295,0.5486944894939615,0.03604798208749316,0.5398344200269293
-0.35,G<=4200,115,1.3561507792823522,-0.338,0.049,0.430349970856751,0.32165327042952424,0.7214337179325687,0.22493041442971687,0.7621881846230844,0.2078263563762691,0.796158447353053,0.19241116486468798,0.018699181842502854,0.42216768789973413,0.018726342668641816,0.4221618453984825
-0.35,G>4200,56,1.1506679643541864,-0.338,0.05,0.6973766663502243,0.39737151312118707,0.741739217032684,0.3670918614849436,0.8973207257799162,0.23146584706249881,0.8997132745743128,0.22875323787622498,0.08375593634511924,0.6914346051408313,0.18345715215823788,0.6527321649038045
-0.3,allG,159,1.2131259432477213,-0.285,0.05,0.40934286560781974,0.3778408617243126,0.6911152837626048,0.27323693552547146,0.6325845085710524,0.29800251396655536,0.6411337829080686,0.29451504444507925,0.03552064980958458,0.4828226805684265,0.09126433229702224,0.4686622607900066
