ExptNo,Dia_in,Length_in,G_1e6_lb_hr_ft2,InletSubcool_BTUlb,BurnoutHF_1e6_BTU_hr_ft2,ExitQuality,flag,flag_norm,source,L_over_D,G_kg_m2_s,quality_bin,G_band_kg,G_band_raw,lowX_le_005,x_gt_005,x_pos_gt_005,flow_proxy_comment,Hsub_kJkg,qCHF_MW_m2,lowX_le_005_calc,G_le_4200,G_ge_1900,LD_ge_40,B_like_lowX,B_like_lowX_G1900_4200,x_band2,G_band2,LD_band2
327.09,0.304,18.0,0.96,200.0,0.855,0.024,,none,source09,59.21052631578947,1301.5852303981444,0<x<=0.05,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,465.2,2.69717509125,True,True,False,True,True,False,0<x<=0.05,G<1900,40<=LD<60
329.09,0.304,18.0,0.985,349.0,1.15,-0.156,,none,source09,59.21052631578947,1335.4806791064293,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,811.774,3.6277793624999997,True,True,False,True,True,False,-0.20<x<=-0.10,G<1900,40<=LD<60
332.09,0.304,18.0,0.996,327.0,1.13,-0.126,,none,source09,59.21052631578947,1350.394676538075,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,760.602,3.5646875474999997,True,True,False,True,True,False,-0.20<x<=-0.10,G<1900,40<=LD<60
333.09,0.304,18.0,0.998,268.0,1.02,-0.056,,none,source09,59.21052631578947,1353.1063124347377,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,623.368,3.217682565,True,True,False,True,True,False,-0.10<x<=0,G<1900,40<=LD<60
336.09,0.304,18.0,1.0,441.0,1.43,-0.221,,none,source09,59.21052631578947,1355.8179483314004,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1025.766,4.5110647725,True,True,False,True,True,False,x<=-0.20,G<1900,40<=LD<60
337.09,0.304,18.0,1.0,525.0,1.57,-0.331,,none,source09,59.21052631578947,1355.8179483314004,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1221.15,4.952707477500001,True,True,False,True,True,False,x<=-0.20,G<1900,40<=LD<60
338.09,0.304,18.0,1.0,400.0,1.3,-0.199,,none,source09,59.21052631578947,1355.8179483314004,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,930.4,4.1009679750000005,True,True,False,True,True,False,-0.20<x<=-0.10,G<1900,40<=LD<60
340.09,0.304,18.0,1.01,196.0,0.86,0.012,,none,source09,59.21052631578947,1369.3761278147144,0<x<=0.05,G<1900,1.0<=G<1.6,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,455.896,2.712948045,True,True,False,True,True,False,0<x<=0.05,G<1900,40<=LD<60
341.09,0.304,18.0,1.01,556.0,1.69,-0.345,,none,source09,59.21052631578947,1369.3761278147144,x<=0,G<1900,1.0<=G<1.6,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1293.256,5.3312583675,True,True,False,True,True,False,x<=-0.20,G<1900,40<=LD<60
342.09,0.304,18.0,1.01,456.0,1.43,-0.26,,none,source09,59.21052631578947,1369.3761278147144,x<=0,G<1900,1.0<=G<1.6,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1060.656,4.5110647725,True,True,False,True,True,False,x<=-0.20,G<1900,40<=LD<60
343.09,0.304,18.0,1.02,385.0,1.29,-0.184,,none,source09,59.21052631578947,1382.9343072980284,x<=0,G<1900,1.0<=G<1.6,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,895.51,4.069422067500001,True,True,False,True,True,False,-0.20<x<=-0.10,G<1900,40<=LD<60
346.09,0.304,18.0,1.02,198.0,0.855,0.001,,none,source09,59.21052631578947,1382.9343072980284,0<x<=0.05,G<1900,1.0<=G<1.6,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,460.548,2.69717509125,True,True,False,True,True,False,0<x<=0.05,G<1900,40<=LD<60
347.09,0.304,18.0,1.02,144.0,0.715,0.048,,none,source09,59.21052631578947,1382.9343072980284,0<x<=0.05,G<1900,1.0<=G<1.6,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,334.944,2.25553238625,True,True,False,True,True,False,0<x<=0.05,G<1900,40<=LD<60
348.09,0.304,18.0,1.03,452.0,1.425,-0.268,,none,source09,59.21052631578947,1396.4924867813424,x<=0,G<1900,1.0<=G<1.6,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1051.352,4.49529181875,True,True,False,True,True,False,x<=-0.20,G<1900,40<=LD<60
349.09,0.304,18.0,1.04,258.0,1.0,-0.065,,none,source09,59.21052631578947,1410.0506662646565,x<=0,G<1900,1.0<=G<1.6,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,600.1080000000001,3.15459075,True,True,False,True,True,False,-0.10<x<=0,G<1900,40<=LD<60
