ANL_index,ANL_Run,ANL_Table,DIA_in,LENGTH_in,G_1e6,Hsub_BTUlb,qCHF_1e6,ANL_dh_exit_BTUlb,ANL_Note,match_status,TM_EXPT_NO,TM_Exit_Quality,TM_flag
200,19-38,ANL_Table_II_D0p436,0.436,18.0,0.147,499.0,0.499,58.0,,MATCH_EXACT,548.09,0.133,J
201,19-39,ANL_Table_II_D0p436,0.436,18.0,0.14,489.0,0.5,96.0,,MATCH_EXACT,538.09,0.217,J
202,19-40,ANL_Table_II_D0p436,0.436,18.0,0.149,443.0,0.48,87.0,,MATCH_EXACT,550.09,0.192,J
203,19-41,ANL_Table_II_D0p436,0.436,18.0,0.136,311.0,0.415,189.5,,MATCH_EXACT,531.09,0.416,J
204,19-42,ANL_Table_II_D0p436,0.436,18.0,0.14,173.0,0.383,276.5,,MATCH_EXACT,539.09,0.602,J
205,19-43,ANL_Table_II_D0p436,0.436,18.0,0.152,138.0,0.381,274.5,,MATCH_EXACT,552.09,0.595,J
206,19-44,ANL_Table_II_D0p436,0.436,18.0,0.135,128.0,0.349,296.5,,MATCH_EXACT,529.09,0.645,J
207,19-45,ANL_Table_II_D0p436,0.436,18.0,0.133,85.0,0.32,311.0,,MATCH_EXACT,527.09,0.674,DJ
208,19-46,ANL_Table_II_D0p436,0.436,18.0,0.136,26.5,0.279,309.5,,MATCH_EXACT,532.09,0.674,J
209,19-47,ANL_Table_II_D0p436,0.436,18.0,0.138,15.5,0.279,318.5,,MATCH_EXACT,534.09,0.687,J
210,19-48,ANL_Table_II_D0p436,0.436,18.0,0.155,500.0,0.509,36.0,,MATCH_EXACT,556.09,0.091,J
211,19-49,ANL_Table_II_D0p436,0.436,18.0,0.154,446.0,0.462,44.0,,MATCH_EXACT,554.09,0.107,J
212,19-50,ANL_Table_II_D0p436,0.436,18.0,0.154,422.0,0.45,59.5,,MATCH_EXACT,555.09,0.131,J
213,19-51,ANL_Table_II_D0p436,0.436,18.0,0.151,386.0,0.435,88.0,,MATCH_EXACT,551.09,0.194,J
214,19-52,ANL_Table_II_D0p436,0.436,18.0,0.141,311.0,0.423,180.5,,MATCH_EXACT,543.09,0.398,J
215,19-53,ANL_Table_II_D0p436,0.436,18.0,0.14,222.0,0.41,263.5,,MATCH_EXACT,540.09,0.565,J
216,19-54,ANL_Table_II_D0p436,0.436,18.0,0.14,170.0,0.383,281.0,,MATCH_EXACT,541.09,0.608,J
217,19-55,ANL_Table_II_D0p436,0.436,18.0,0.146,130.0,0.359,274.0,,MATCH_EXACT,547.09,0.596,J
218,19-56,ANL_Table_II_D0p436,0.436,18.0,0.144,120.0,0.355,287.0,,MATCH_EXACT,544.09,0.62,J
219,19-57,ANL_Table_II_D0p436,0.436,18.0,0.14,75.5,0.316,294.5,,MATCH_EXACT,542.09,0.641,J
220,19-58,ANL_Table_II_D0p436,0.436,18.0,0.138,61.0,0.303,301.0,,MATCH_EXACT,535.09,0.651,J
221,19-59,ANL_Table_II_D0p436,0.436,18.0,0.126,54.5,0.296,331.5,,MATCH_EXACT,524.09,0.72,DJ
222,19-60,ANL_Table_II_D0p436,0.436,18.0,0.138,48.5,0.28,283.5,,MATCH_EXACT,536.09,0.618,J
223,19-61,ANL_Table_II_D0p436,0.436,18.0,0.132,42.5,0.259,281.5,,MATCH_EXACT,526.09,0.608,DJ
224,19-62,ANL_Table_II_D0p436,0.436,18.0,0.144,470.0,0.495,94.0,,MATCH_EXACT,545.09,0.211,J
225,19-63,ANL_Table_II_D0p436,0.436,18.0,0.148,413.0,0.463,101.5,,MATCH_EXACT,549.09,0.224,J
226,19-64,ANL_Table_II_D0p436,0.436,18.0,0.152,357.0,0.44,118.5,,MATCH_EXACT,553.09,0.261,J
227,19-65,ANL_Table_II_D0p436,0.436,18.0,0.135,241.0,0.399,244.5,,MATCH_EXACT,530.09,0.533,J
228,19-66,ANL_Table_II_D0p436,0.436,18.0,0.138,183.0,0.39,282.0,,MATCH_EXACT,537.09,0.612,J
229,19-67,ANL_Table_II_D0p436,0.436,18.0,0.145,140.0,0.37,280.0,,MATCH_EXACT,546.09,0.607,J
230,19-68,ANL_Table_II_D0p436,0.436,18.0,0.136,117.0,0.345,298.5,,MATCH_EXACT,533.09,0.652,J
231,19-69,ANL_Table_II_D0p436,0.436,18.0,0.134,83.5,0.315,301.5,,MATCH_EXACT,528.09,0.658,J
232,19-70,ANL_Table_II_D0p436,0.436,18.0,0.126,31.5,0.275,326.5,,MATCH_EXACT,525.09,0.71,DJ
