ANL_index,ANL_Run,ANL_Table,DIA_in,LENGTH_in,G_1e6,Hsub_BTUlb,qCHF_1e6,ANL_dh_exit_BTUlb,ANL_Note,match_status,TM_EXPT_NO,TM_Exit_Quality,TM_flag
47,7-2,ANL_Table_I_D0p304,0.304,18.0,0.951,207.0,0.855,5.0,,MATCH_EXACT,326.09,0.013,
48,7-3,ANL_Table_I_D0p304,0.304,18.0,1.03,452.0,1.425,-126.0,,MATCH_EXACT,348.09,-0.268,
49,7-4,ANL_Table_I_D0p304,0.304,18.0,0.996,327.0,1.13,-59.0,,MATCH_EXACT,332.09,-0.126,
50,7-5,ANL_Table_I_D0p304,0.304,18.0,0.96,200.0,0.855,11.0,,MATCH_EXACT,327.09,0.024,
51,7-6,ANL_Table_I_D0p304,0.304,18.0,0.972,137.0,0.735,42.5,,MATCH_EXACT,328.09,0.091,
52,7-7,ANL_Table_I_D0p304,0.304,18.0,0.99,85.0,0.573,51.5,,MATCH_EXACT,331.09,0.112,
53,7-8,ANL_Table_I_D0p304,0.304,18.0,1.0,21.0,0.43,81.5,,MATCH_EXACT,334.09,0.174,
54,7-9,ANL_Table_I_D0p304,0.304,18.0,1.08,480.0,1.57,-138.0,,MATCH_EXACT,350.09,-0.293,
55,7-10,ANL_Table_I_D0p304,0.304,18.0,1.02,385.0,1.29,-87.0,,MATCH_EXACT,343.09,-0.184,
56,7-11,ANL_Table_I_D0p304,0.304,18.0,1.04,258.0,1.0,-30.0,,MATCH_EXACT,349.09,-0.065,
57,7-12,ANL_Table_I_D0p304,0.304,18.0,1.01,196.0,0.86,5.5,,MATCH_EXACT,340.09,0.012,
58,7-13,ANL_Table_I_D0p304,0.304,18.0,1.02,129.0,0.715,37.0,,MATCH_EXACT,344.09,0.08,
59,7-14,ANL_Table_I_D0p304,0.304,18.0,1.0,74.0,0.565,60.0,,MATCH_EXACT,335.09,0.129,
60,7-15,ANL_Table_I_D0p304,0.304,18.0,1.02,41.0,0.485,71.0,,MATCH_EXACT,345.09,0.155,
61,7-16,ANL_Table_I_D0p304,0.304,18.0,0.987,16.0,0.425,86.5,,MATCH_EXACT,330.09,0.186,
62,7-30,ANL_Table_I_D0p304,0.304,18.0,1.01,556.0,1.69,-159.5,,MATCH_EXACT,341.09,-0.345,
63,7-31,ANL_Table_I_D0p304,0.304,18.0,1.0,441.0,1.43,-105.0,,MATCH_EXACT,336.09,-0.221,
64,8-1,ANL_Table_I_D0p304,0.304,18.0,1.0,525.0,1.57,-155.0,,MATCH_EXACT,337.09,-0.331,
65,8-2,ANL_Table_I_D0p304,0.304,18.0,1.01,456.0,1.43,-121.0,,MATCH_EXACT,342.09,-0.26,
66,8-3,ANL_Table_I_D0p304,0.304,18.0,1.0,400.0,1.3,-105.5,,MATCH_EXACT,338.09,-0.199,
67,8-5,ANL_Table_I_D0p304,0.304,18.0,0.998,268.0,1.02,-26.5,,MATCH_EXACT,333.09,-0.056,
68,8-6,ANL_Table_I_D0p304,0.304,18.0,1.02,198.0,0.855,0.5,,MATCH_EXACT,346.09,0.001,
69,8-7,ANL_Table_I_D0p304,0.304,18.0,1.02,144.0,0.715,22.5,,MATCH_EXACT,347.09,0.048,
70,8-8,ANL_Table_I_D0p304,0.304,18.0,1.0,96.0,0.58,41.5,,MATCH_EXACT,339.09,0.089,
71,8-9,ANL_Table_I_D0p304,0.304,18.0,0.9,27.0,0.44,89.5,,MATCH_EXACT,325.09,0.192,
