scope,N,old86_N,high_PM_N_PMge2p2,deep_x_N_xle_m020,PM_mean,PM_std,PM_min,PM_max,Tsub_mean,Tsub_min,Tsub_max,x_mean,x_min,x_max,G_mean,G_min,G_max,LD_mean,LD_min,LD_max
A_G<=4200_all,117,47,4,12,1.372589871178788,0.4428662342784811,0.1135786841963328,2.721081299499212,133.17394286140015,21.424642698647403,313.18434543454475,-0.07476923076923078,-0.457,0.049,2467.712647692307,520.79232,4163.626099999999,94.89592084872957,20.97902097902098,365.33333333333326
B_G<=4200_LD>=40,113,47,2,10,1.351663184974606,0.41120120107477454,0.1135786841963328,2.4704383105441856,135.02651407858323,21.424642698647403,313.18434543454475,-0.07045132743362832,-0.457,0.049,2470.5709785840704,520.79232,4163.626099999999,97.5124482777458,64.51612903225808,365.33333333333326
C_B_plus_x>-0.20,103,42,0,0,1.2785253037351303,0.3483866246142378,0.1135786841963328,1.853006511199896,127.57610557089697,21.424642698647403,313.18434543454475,-0.04693203883495145,-0.191,0.049,2431.3912079611646,520.79232,4163.626099999999,100.51248784736069,64.51612903225808,365.33333333333326
D_old86like_window_lowX,47,46,2,5,1.2715439044429604,0.4339206800459338,0.435151931201948,2.4704383105441856,95.89860148468705,33.60109799971622,250.73285002387016,-0.0770212765957447,-0.457,0.049,3216.025313404255,2454.7763,4068.69,70.48184008113762,64.51612903225808,80.0
Excluded_G>4200,70,0,22,29,1.4286765828189563,0.8772780972918671,0.0735487784385007,3.6053610399898135,100.39522088351013,20.88259301344499,256.20145638583585,-0.16998571428571424,-0.459,0.05,6570.35310857143,4204.313,10565.0317,75.27741370049851,20.97902097902098,108.84955752212387
Excluded_G<=4200_LD<40,4,0,2,2,1.963768756446927,0.8880695735636995,0.8118979825986368,2.721081299499212,80.83880597597783,28.04836953301753,132.16438099330514,-0.19675,-0.338,-0.047,2386.9647999999997,2102.1565,2712.46,20.97902097902098,20.97902097902098,20.97902097902098
