sheet,target_kind,data_row_index,excel_row_if_header1,Bundle,No,nearest_master_case_label,z_DNB_over_L_current,master_z_DNB_ratio,mapping_abs_dz,legacy_column_name_expected,linear_column_name_in_v2b,original_value,replace_value,value_delta,value_ratio,mapping_status,replace_action,do_not_edit_original
tm_161,noF1,9,10,161,276,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_161,noF1,10,11,161,277,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_161,noF1,11,12,161,278,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_161,noF1,12,13,161,281,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_161,noF1,13,14,161,282,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_161,noF1,14,15,161,290,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_161,noF1,15,16,161,291,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_161,noF1,16,17,161,295,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_161,noF1,17,18,161,297,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_161,noF1,18,19,161,298,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_161,noF1,19,20,161,301,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_161,noF1,20,21,161,302,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_161,noF1,21,22,161,305,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_161,noF1,22,23,161,310,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_161,noF1,23,24,161,317,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_164,noF1,1,2,164,319,164_134in_normal,0.797656433091165,0.797619,3.74330911646625e-05,F_form,Fform_linear,1.363,1.29999316921959,-0.0630068307804084,0.953773418356267,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_164,noF1,2,3,164,320,164_134in_normal,0.797656433091165,0.797619,3.74330911646625e-05,F_form,Fform_linear,1.363,1.29999316921959,-0.0630068307804084,0.953773418356267,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_164,noF1,3,4,164,322,164_134in_normal,0.797656433091165,0.797619,3.74330911646625e-05,F_form,Fform_linear,1.363,1.29999316921959,-0.0630068307804084,0.953773418356267,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
