set,N_all,N_Table10,N_source09_by_No_suffix,N_source09_by_D_L_physical,D_in_unique_Table10
current_result all280,280,190,0,0,"0.075, 0.143, 0.18, 0.186, 0.187, 0.226, 0.306"
current_result valid277,277,187,0,0,"0.075, 0.143, 0.18, 0.186, 0.187, 0.226, 0.306"
