ExptNo_norm,Dia_in,Length_in,L_over_D,G_raw,G_kg_m2_s,InletSubcool_BTUlb,qM,qM_over_Graw,x,flag_norm,lowX_le_005,old86_member
48.01,0.18,11.625,64.58333333333334,1.86,2521.8213838964048,20.3,0.66,0.3548387096774194,0.154,none,False,False
49.01,0.18,11.625,64.58333333333334,1.86,2521.8213838964048,22.0,0.66,0.3548387096774194,0.15,none,False,False
50.01,0.18,11.625,64.58333333333334,1.89,2562.4959223463466,42.2,0.66,0.34920634920634924,0.104,none,False,False
71.01,0.18,11.625,64.58333333333334,2.94,3986.104768094317,5.1,0.682,0.23197278911564628,0.118,none,False,False
189.01,0.187,12.5,66.84491978609626,1.83,2481.146845446463,16.9,0.709,0.387431693989071,0.187,none,False,False
190.01,0.187,12.5,66.84491978609626,1.88,2548.937742863033,18.6,0.743,0.3952127659574468,0.188,none,False,False
191.01,0.187,12.5,66.84491978609626,1.99,2698.0777171794866,57.3,0.85,0.4271356783919598,0.123,none,False,False
489.01,0.306,23.25,75.98039215686275,1.81,2454.030486479835,116.4,0.806,0.44530386740331496,0.041,none,True,False
490.01,0.306,23.25,75.98039215686275,1.96,2657.403178729545,100.9,0.806,0.4112244897959184,0.052,none,False,False
