group,N,PM_noF1_current_mean,PM_noF1_current_sd,PM_noF1_current_min,PM_noF1_current_p25,PM_noF1_current_median,PM_noF1_current_p75,PM_noF1_current_max,Tsub_mean,Tsub_sd,Tsub_min,Tsub_p25,Tsub_median,Tsub_p75,Tsub_max,x_mean,x_sd,x_min,x_p25,x_median,x_p75,x_max,G_kg_m2s_mean,G_kg_m2s_sd,G_kg_m2s_min,G_kg_m2s_p25,G_kg_m2s_median,G_kg_m2s_p75,G_kg_m2s_max,N_x_le_-0.30,N_x_le_-0.20,N_x_le_0,N_0_lt_x_le_0.05,N_x_gt_0.05,R2_PM_Tsub_poly1,R2_PM_Tsub_poly2
current187_x<=-0.30,28,2.4183339553163363,0.33225738176044894,2.137501069429112,2.219013511555615,2.2839754285524063,2.4945245256280173,3.6053610399898135,190.52907853858088,46.49130844880542,122.73516379156324,159.47455545867243,180.27560766853622,228.01410846018734,299.93981302215946,-0.37964285714285717,0.05138180560363705,-0.459,-0.43325,-0.3605,-0.335,-0.326,5899.358316071429,2608.6106491740247,1213.82585,4831.569375,5357.1085,7171.066125,10524.3448,28,28,28,0,0,0.1598616675575999,0.18355472668998118
current187_-0.30<x<=-0.20,13,1.988218365029007,0.40155005764100593,1.588015902634939,1.7335728165197444,1.8285357968013456,2.0745127624661843,2.862189847867258,119.47997646145748,55.58349145015838,69.83293932221864,86.04557897376492,107.23353575437028,128.29772162697628,280.20066140208166,-0.23315384615384613,0.03323614035415402,-0.285,-0.257,-0.216,-0.205,-0.202,5984.834339230769,2974.515812491645,1216.53831,3607.5718,5696.166,7974.6324,10497.2202,0,13,13,0,0,0.030858106249336714,0.2544058430310383
current187_-0.20<x<=-0.10,32,1.5422954648388512,0.22379658138830147,0.9740408016490564,1.3942027344976824,1.6035502579161682,1.6981437722698214,1.853006511199896,144.53203484162137,72.37831748932611,36.37517080704424,101.37119795144721,127.72494279767349,162.41794272148763,279.02406714057867,-0.14015624999999998,0.02316854009211629,-0.191,-0.1515,-0.134,-0.124,-0.107,3857.0757378125,2752.490203871636,782.54471,1315.5431,3397.3561499999996,5296.078149999999,10470.0956,0,0,32,0,0,0.4958997226233608,0.7172312511662372
current187_-0.10<x<=0,78,1.1961246121219078,0.3348066202708252,0.0735487784385007,1.0978976623514098,1.2043101122612252,1.4049613929615734,1.68347241906529,116.9201371456098,79.84683898199458,26.91818451033987,74.59850319691449,86.29164521057947,123.0333316287648,313.18434543454475,-0.044538461538461534,0.023213684000501188,-0.093,-0.058249999999999996,-0.0405,-0.02775,-0.003,3453.2397810256402,2011.0686774413318,1019.88496,2325.9344499999997,2936.2379499999997,3916.114125,10565.0317,0,0,78,0,0,0.5581207742877841,0.8590418424150872
current187_0<x<=0.05,36,0.6774725447405158,0.3657796166236894,0.094301763279964,0.3769682916984418,0.6833174794357666,1.0382304219950413,1.18830075807576,54.893529757246334,29.36901296398537,20.88259301344499,31.701230556555174,46.855124347037986,72.31748054359147,138.30891067011777,0.02702777777777778,0.014011191671784813,0.001,0.01675,0.028,0.03925,0.05,3135.641433055556,1535.5736346643434,520.79232,1627.4759999999999,3044.73635,4367.060600000001,5587.6676,0,0,0,36,0,0.8569040451561981,0.9860539811441099
current187_x>0.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,
