ExptNo,Dia_in,Length_in,G_1e6_lb_hr_ft2,InletSubcool_BTUlb,BurnoutHF_1e6_BTU_hr_ft2,ExitQuality,flag,flag_norm,source,L_over_D,G_kg_m2_s,quality_bin,G_band_kg,G_band_raw,lowX_le_005,x_gt_005,x_pos_gt_005,flow_proxy_comment
74.01,0.18,11.625,3.0,28.6,0.82,0.091,,none,source01,64.58333333333334,4067.453844994201,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
75.01,0.18,11.625,3.0,30.1,0.82,0.087,,none,source01,64.58333333333334,4067.453844994201,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
76.01,0.18,11.625,3.0,33.1,0.845,0.086,,none,source01,64.58333333333334,4067.453844994201,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
77.01,0.18,11.625,3.02,49.7,0.945,0.067,,none,source01,64.58333333333334,4094.5702039608295,0.05<x<=0.15,1900<=G<=4200,3.0<G<=4.0,False,True,True,x>0.05 mid/high G: transition check candidate
78.01,0.18,11.625,3.05,48.2,0.945,0.069,,none,source01,64.58333333333334,4135.244742410771,0.05<x<=0.15,1900<=G<=4200,3.0<G<=4.0,False,True,True,x>0.05 mid/high G: transition check candidate
79.01,0.18,11.625,3.05,48.2,0.95,0.07,,none,source01,64.58333333333334,4135.244742410771,0.05<x<=0.15,1900<=G<=4200,3.0<G<=4.0,False,True,True,x>0.05 mid/high G: transition check candidate
88.01,0.1805,9.4,0.0281,234.1,0.084,0.839,,none,source01,52.07756232686981,38.09848434811235,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
89.01,0.1805,9.4,0.0281,244.1,0.08,0.753,,none,source01,52.07756232686981,38.09848434811235,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
90.01,0.1805,9.4,0.0287,600.5,0.141,0.913,,none,source01,52.07756232686981,38.91197511711119,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
91.01,0.1805,9.4,0.0287,602.5,0.139,0.877,,none,source01,52.07756232686981,38.91197511711119,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
92.01,0.1805,9.4,0.0301,96.9,0.072,0.866,,none,source01,52.07756232686981,40.81012024477515,x>0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
