group,N,PM_noF1_mean,PM_noF1_sd,PM_noF1_min,PM_noF1_p25,PM_noF1_median,PM_noF1_p75,PM_noF1_max,Tsub_mean,Tsub_sd,Tsub_min,Tsub_p25,Tsub_median,Tsub_p75,Tsub_max,x_mean,x_sd,x_min,x_p25,x_median,x_p75,x_max,G_kg_m2s_mean,G_kg_m2s_sd,G_kg_m2s_min,G_kg_m2s_p25,G_kg_m2s_median,G_kg_m2s_p75,G_kg_m2s_max,N_old86_overlap,N_current_only,N_PM_ge_2p2,N_yellow_handregion,R2_PM_Tsub_linear,R2_PM_Tsub_quadratic,R2_PM_x_linear
A_deep_subcooled_highG_PWR_out_candidate,29,2.316822947225909,0.4465320102779038,1.588015902634939,2.210148917856386,2.272600294731405,2.4936701195505564,3.6053610399898135,156.97195572533178,52.546075147475506,69.83293932221864,123.30541643666328,162.25628229717415,181.1176701054545,256.20145638583585,-0.34275862068965524,0.08755841118623686,-0.459,-0.409,-0.338,-0.275,-0.202,7214.675934482761,2012.7714434753404,4773.9296,5357.1085,6984.584500000001,8652.7474,10524.3448,0,29,22,16,0.03678573280788333,0.059101881497794606,0.5246255702957667
B_deep_subcooled_Gle4200_keep_separate,12,2.1976936687235957,0.27873201251328206,1.784314835756727,2.063246455737152,2.157302939002233,2.275065401168724,2.721081299499212,194.65559808704916,68.0145058068958,86.04557897376492,132.5964541949889,191.6114819150747,249.9382132424214,299.93981302215946,-0.3100833333333333,0.0683100662531896,-0.457,-0.33575,-0.3275,-0.27699999999999997,-0.202,2813.2730966666663,1049.0282773288477,1213.82585,2003.829825,3153.23475,3648.2587,4109.3769,5,7,4,3,0.02125184686747794,0.06849068353337673,0.29641668061755033
C_not_deep_highG_PWR_out_candidate,41,0.8004754957994044,0.46003271940134377,0.0735487784385007,0.3589111087017025,0.8331794513595565,1.1472186562692852,1.70216312799015,60.37753038563628,33.26295831880332,20.88259301344499,31.979825654822093,58.0748318619568,69.26473455273185,142.74263318475448,-0.04778048780487805,0.06689226868447577,-0.189,-0.121,-0.034,0.015,0.05,6114.6125731707325,1932.6909468473489,4204.313,4855.3034,5289.297,6238.657999999999,10565.0317,0,41,0,0,0.7856719210044707,0.8873953694416769,0.761652110397417
D_not_deep_Gle4200_main_candidate,105,1.2782922943165245,0.3507315500538901,0.1135786841963328,1.1122264345889912,1.3017638017483473,1.5801796486201998,1.853006511199896,126.14746797846881,79.79085241622951,21.424642698647403,75.46157701295215,103.58496549932198,134.94320198506415,313.18434543454475,-0.047876190476190475,0.058946797270292034,-0.191,-0.083,-0.039,-0.009,0.049,2428.2200249523808,917.4041911163844,520.79232,1586.7891,2427.6517,3132.8913,4163.626099999999,42,63,0,0,0.5528915665710041,0.863388990361406,0.6834747049885553
