ExptNo_norm,PM_noF1,Tsub,x,G_kg_m2s,G_1e6_lb_hr_ft2,Dia_in,Length_in,L_over_D,BurnoutHF_1e6_BTU_hr_ft2,ExitQuality,old86_member,LD_band_detail
35.01,1.7206866359179822,77.09689440382374,-0.146,2102.1565,1.55,0.143,3.0,20.97902097902098,2.22,-0.146,False,LD<40
36.01,2.721081299499212,132.16438099330514,-0.338,2305.591,1.7,0.143,3.0,20.97902097902098,2.84,-0.338,False,LD<40
37.01,0.8118979825986368,28.04836953301753,-0.047,2427.6517,1.79,0.143,3.0,20.97902097902098,1.2,-0.047,False,LD<40
38.01,2.601409107771878,86.04557897376492,-0.256,2712.46,2.0,0.143,3.0,20.97902097902098,2.09,-0.256,False,LD<40
