No_TableNo,ExptNo,ExptNo_norm,PM,Tsub,x,G_kg_m2s,G_Mlb_ft2h,LD,old86_member,policy_class,high_PM,deep_subcooled,scope_A_Gle4200,scope_B_Gle4200_LDge40,scope_C_B_xgtm020,scope_D_old86like_lowX,q_M_MWm2_result,q_P_MWm2,dq_ratio_pct_result,log_message
16.01_10,16.01,16.01,1.1730140094852546,80.4334779483512,-0.027,3146.4536,2.32,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,4.164058799999999,4.884499308720358,0.0653706673227114,収束 (|dq_ratio|<1%)  (f_solver=0)
17.01_10,17.01,17.01,1.1431267000030425,75.46157701295215,-0.026,3146.4536,2.32,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,3.9432375,4.507620070703247,-0.1959385118490891,収束 (|dq_ratio|<1%)  (f_solver=0)
18.01_10,18.01,18.01,0.9982901984304464,66.99992038726407,0.001,3634.6964,2.68,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,4.416425999999999,4.408874787893382,0.0389395330814793,収束 (|dq_ratio|<1%)  (f_solver=0)
19.01_10,19.01,19.01,1.0857586936402024,74.31081192490194,-0.018,3851.6932,2.8400000000000003,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,4.8580686,5.274690216750487,-0.0062197660192254,収束 (|dq_ratio|<1%)  (f_solver=0)
196.01_10,196.01,196.01,0.8841447681755321,61.85955609096459,0.015,3037.9552,2.24,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,4.29655158,3.798773600653316,0.0818540262396996,収束 (|dq_ratio|<1%)  (f_solver=0)
197.01_10,197.01,197.01,1.035657655963962,75.46157701295215,-0.014,3241.3897,2.39,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,5.0157981,5.194649703034494,-0.5513598409493335,収束 (|dq_ratio|<1%)  (f_solver=0)
198.01_10,198.01,198.01,1.2980153216050032,76.56717653219835,-0.09,3254.952,2.4000000000000004,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,4.100967,5.323117999396505,-0.3547049524252508,収束 (|dq_ratio|<1%)  (f_solver=0)
199.01_10,199.01,199.01,1.5801796486201998,106.11665306734947,-0.144,3390.575,2.5,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,5.299711199999999,8.374495781804537,0.6218485703386165,収束 (|dq_ratio|<1%)  (f_solver=0)
20.01_10,20.01,20.01,1.1165611650523526,75.46157701295215,-0.026,3905.9424,2.88,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,4.889614499999999,5.459553662776876,0.3848795453033805,収束 (|dq_ratio|<1%)  (f_solver=0)
200.01_10,200.01,200.01,1.090984830660081,79.31866378958193,-0.027,3390.575,2.5,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,5.299711199999999,5.781904526079334,-0.1793528182224258,収束 (|dq_ratio|<1%)  (f_solver=0)
201.01_10,201.01,201.01,1.696711804699104,122.21707720506936,-0.174,3404.1373,2.51,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,5.8359915,9.901995670173632,0.1557716901061284,収束 (|dq_ratio|<1%)  (f_solver=0)
202.01_10,202.01,202.01,1.246383451509764,94.40186587765923,-0.056,3404.1373,2.51,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,5.8359915,7.273883228751646,0.4657326797354334,収束 (|dq_ratio|<1%)  (f_solver=0)
203.01_10,203.01,203.01,1.1830251235337732,76.56717653219835,-0.061,3458.3865,2.55,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,4.7634309,5.635258428917092,0.1142740492979284,収束 (|dq_ratio|<1%)  (f_solver=0)
204.01_10,204.01,204.01,1.5158593908629203,107.79264087372076,-0.128,3471.9488,2.56,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,5.7413538,8.703085073996514,0.4298431743946722,収束 (|dq_ratio|<1%)  (f_solver=0)
205.01_10,205.01,205.01,2.0745127624661843,162.25628229717415,-0.284,3594.0095,2.65,66.84491978609627,True,B_deep_x<=-0.20,False,True,True,True,False,True,6.940098,14.397321873766042,-0.2672118633887431,収束 (|dq_ratio|<1%)  (f_solver=0)
206.01_10,206.01,206.01,1.5944573105871214,128.8193242292905,-0.148,3594.0095,2.65,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,6.940098,11.06568999229106,0.0797185592939539,収束 (|dq_ratio|<1%)  (f_solver=0)
207.01_10,207.01,207.01,1.84831057414112,132.74047859555014,-0.216,3607.5718,2.66,66.84491978609627,True,B_deep_x<=-0.20,False,True,True,True,False,True,6.2145423,11.486404246537276,-0.0505423161572815,収束 (|dq_ratio|<1%)  (f_solver=0)
208.01_10,208.01,208.01,1.340216247536809,101.6168218410382,-0.085,3607.5718,2.66,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,6.2145423,8.328830561464768,-0.2532619080946829,収束 (|dq_ratio|<1%)  (f_solver=0)
209.01_10,209.01,209.01,2.2099410980435703,194.2074052316925,-0.334,3648.2587,2.69,66.84491978609627,True,B_deep_x<=-0.20,True,True,True,True,False,True,8.170388099999998,18.05607644915612,0.6965847198008253,収束 (|dq_ratio|<1%)  (f_solver=0)
21.01_10,21.01,21.01,1.09515482640457,81.01614510562172,-0.012,3919.5047,2.89,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,5.425894799999999,5.942194877783458,-0.3037566195963467,収束 (|dq_ratio|<1%)  (f_solver=0)
210.01_10,210.01,210.01,2.17241176700994,189.0155585984569,-0.329,3648.2587,2.69,66.84491978609627,True,B_deep_x<=-0.20,False,True,True,True,False,True,7.949566799999999,17.26973245895155,-0.7233208980591322,収束 (|dq_ratio|<1%)  (f_solver=0)
213.01_10,213.01,213.01,2.4704383105441856,250.73285002387016,-0.457,3783.8817,2.79,66.84491978609627,True,B_deep_x<=-0.20,True,True,True,True,False,True,9.9685044,24.62657516858828,0.0077785423451693,収束 (|dq_ratio|<1%)  (f_solver=0)
489.01_10,489.01,489.01,0.6440243300341385,44.21115401415841,0.041,2454.7763,1.81,75.98039215686273,False,B_main_x>-0.20,False,False,True,True,True,True,2.54259954,1.6374959652936087,0.1123494703282611,収束 (|dq_ratio|<1%)  (f_solver=0)
493.01_10,493.01,493.01,0.435151931201948,33.60109799971622,0.049,2888.7699,2.13,75.98039215686273,True,B_main_x>-0.20,False,False,True,True,True,True,2.52682659,1.0995534704509329,-0.3386401216996503,収束 (|dq_ratio|<1%)  (f_solver=0)
496.01_10,496.01,496.01,0.4808078218353823,35.27787208981738,0.037,2997.2683,2.21,75.98039215686273,True,B_main_x>-0.20,False,False,True,True,True,True,2.586763799999999,1.243736268280616,-0.0364470894094111,収束 (|dq_ratio|<1%)  (f_solver=0)
497.01_10,497.01,497.01,0.4856745056107639,35.27787208981738,0.034,3051.5175,2.25,75.98039215686273,True,B_main_x>-0.20,False,False,True,True,True,True,2.60253675,1.2639857493900943,0.5909707056032266,収束 (|dq_ratio|<1%)  (f_solver=0)
498.01_10,498.01,498.01,0.4913008889472814,35.82580133498607,0.033,3051.5175,2.25,75.98039215686273,True,B_main_x>-0.20,False,False,True,True,True,True,2.6183097,1.28637788314929,-0.7752096507386549,収束 (|dq_ratio|<1%)  (f_solver=0)
