No_TableNo,ExptNo,ExptNo_norm,PM,Tsub,x,G_kg_m2s,G_Mlb_ft2h,LD,old86_member,policy_class,high_PM,deep_subcooled,scope_A_Gle4200,scope_B_Gle4200_LDge40,scope_C_B_xgtm020,scope_D_old86like_lowX,q_M_MWm2_result,q_P_MWm2,dq_ratio_pct_result,log_message
140.01_10,140.01,140.01,1.1661565613840124,77.67546587553511,-0.045,2834.5207,2.09,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.2902424,5.0030943246878925,0.0034585697369281,収束 (|dq_ratio|<1%)  (f_solver=0)
141.01_10,141.01,141.01,1.7657520451572235,128.8193242292905,-0.191,3417.6996,2.52,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,6.2145423,10.973340775941075,0.3136504604718872,収束 (|dq_ratio|<1%)  (f_solver=0)
142.01_10,142.01,142.01,1.1602147592744096,73.21081352671627,-0.059,3451.60535,2.545,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.731885,5.490002816189191,-0.0339942427337829,収束 (|dq_ratio|<1%)  (f_solver=0)
144.01_10,144.01,144.01,1.1978769026901763,70.92420249940028,-0.082,4068.69,3.0,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,5.0157981,6.008308692547271,-0.708482856115632,収束 (|dq_ratio|<1%)  (f_solver=0)
145.01_10,145.01,145.01,1.784314835756727,128.29772162697628,-0.202,4109.3769,3.03,64.51612903225808,False,B_deep_x<=-0.20,False,True,True,True,False,False,7.255556999999999,12.946197996778569,0.3373720653237075,収束 (|dq_ratio|<1%)  (f_solver=0)
146.01_10,146.01,146.01,0.1135786841963328,21.424642698647403,0.043,4163.626099999999,3.069999999999999,64.51612903225808,False,B_main_x>-0.20,False,False,True,True,True,False,3.059952299999999,0.3475453559375421,-0.9729485283103984,収束 (|dq_ratio|<1%)  (f_solver=0)
147.01_10,147.01,147.01,1.1333409354693746,69.26473455273185,-0.075,4773.9296,3.5200000000000005,64.51612903225808,False,excluded_G>4200,False,False,False,False,False,False,5.8675374,6.649920325817543,0.2982367795826831,収束 (|dq_ratio|<1%)  (f_solver=0)
149.01_10,149.01,149.01,1.8285357968013456,123.82415099235055,-0.227,5696.166,4.2,64.51612903225808,False,excluded_G>4200,False,True,False,False,False,False,9.0221274,16.497282914202252,0.1296515231224813,収束 (|dq_ratio|<1%)  (f_solver=0)
15.01_10,15.01,15.01,1.4666255843196985,149.42602102406886,-0.071,3132.8913,2.31,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,6.7508226,9.900929140363626,-0.3910424877074285,収束 (|dq_ratio|<1%)  (f_solver=0)
150.01_10,150.01,150.01,1.0807270085888994,68.13071600661715,0.041,520.79232,0.384,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,0.8517393,0.9204976657866032,-0.9326316078631304,収束 (|dq_ratio|<1%)  (f_solver=0)
152.01_10,152.01,152.01,1.058930953874542,70.35448789359657,0.049,644.20925,0.475,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,1.1009519099999998,1.1658320562262987,0.1730496372109256,収束 (|dq_ratio|<1%)  (f_solver=0)
154.01_10,154.01,154.01,1.853006511199896,276.16725943459306,-0.189,782.54471,0.577,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,3.2176818,5.962385326369401,-0.0650957104218938,収束 (|dq_ratio|<1%)  (f_solver=0)
16.01_10,16.01,16.01,1.1730140094852546,80.4334779483512,-0.027,3146.4536,2.32,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,4.164058799999999,4.884499308720358,0.0653706673227114,収束 (|dq_ratio|<1%)  (f_solver=0)
161.01_10,161.01,161.01,1.5709889842154725,122.21707720506936,-0.093,1019.88496,0.752,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,2.0820294,3.270845252212749,0.878898877562823,収束 (|dq_ratio|<1%)  (f_solver=0)
164.01_10,164.01,164.01,1.4179641588165113,160.48483099578448,-0.005,1063.28432,0.7839999999999999,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,3.2176818,4.562557466876197,0.8455953727853107,収束 (|dq_ratio|<1%)  (f_solver=0)
165.01_10,165.01,165.01,1.2599022384263956,103.58496549932198,-0.003,1078.20285,0.7949999999999999,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,2.249222669999999,2.833800676652393,-0.4554335877871313,収束 (|dq_ratio|<1%)  (f_solver=0)
167.01_10,167.01,167.01,1.6341172023090649,138.8357821756768,-0.113,1084.984,0.7999999999999999,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,2.4290343,3.9693267346287575,0.6092953485434356,収束 (|dq_ratio|<1%)  (f_solver=0)
169.01_10,169.01,169.01,2.165236999903537,299.93981302215946,-0.359,1213.82585,0.8949999999999999,66.84491978609627,False,B_deep_x<=-0.20,False,True,True,True,False,False,4.605701399999999,9.97243508178752,0.2271881555465867,収束 (|dq_ratio|<1%)  (f_solver=0)
17.01_10,17.01,17.01,1.1431267000030425,75.46157701295215,-0.026,3146.4536,2.32,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,3.9432375,4.507620070703247,-0.1959385118490891,収束 (|dq_ratio|<1%)  (f_solver=0)
170.01_10,170.01,170.01,2.029447535550055,280.20066140208166,-0.285,1216.53831,0.8969999999999999,66.84491978609627,False,B_deep_x<=-0.20,False,True,True,True,False,False,4.605701399999999,9.347029355709438,0.6614238101155622,収束 (|dq_ratio|<1%)  (f_solver=0)
171.01_10,171.01,171.01,1.6813008593885053,161.71924421083668,-0.136,1301.9808,0.96,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,3.2807736000000003,5.515967473139121,-0.1669104229638453,収束 (|dq_ratio|<1%)  (f_solver=0)
18.01_10,18.01,18.01,0.9982901984304464,66.99992038726407,0.001,3634.6964,2.68,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,4.416425999999999,4.408874787893382,0.0389395330814793,収束 (|dq_ratio|<1%)  (f_solver=0)
180.01_10,180.01,180.01,1.351192509146819,98.2996098552306,-0.062,1695.2875,1.25,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,2.98108755,4.028023166670844,-0.7132572103490185,収束 (|dq_ratio|<1%)  (f_solver=0)
182.01_10,182.01,182.01,1.4594950128413378,106.11665306734947,-0.089,1803.7859,1.33,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,3.2176818,4.696190540010338,0.177262045324624,収束 (|dq_ratio|<1%)  (f_solver=0)
183.01_10,183.01,183.01,1.5413047115737164,132.74047859555014,-0.109,1830.9105,1.35,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,3.9432375,6.077730537604163,-0.7679454717369579,収束 (|dq_ratio|<1%)  (f_solver=0)
184.01_10,184.01,184.01,2.1458508558958083,230.5931119642869,-0.326,1871.5974,1.38,66.84491978609627,False,B_deep_x<=-0.20,False,True,True,True,False,False,5.331257099999999,11.440082611035605,-0.0072881559764321,収束 (|dq_ratio|<1%)  (f_solver=0)
185.01_10,185.01,185.01,1.6968039870297118,164.51403825344045,-0.149,1871.5974,1.38,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,4.7003391,7.975554125271646,0.5533546453968138,収束 (|dq_ratio|<1%)  (f_solver=0)
186.01_10,186.01,186.01,1.4880925664115456,122.21707720506936,-0.092,1898.722,1.4,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,3.880145699999999,5.7740159727637215,0.024278317976423,収束 (|dq_ratio|<1%)  (f_solver=0)
187.01_10,187.01,187.01,1.561802433828803,134.94320198506415,-0.119,1966.5335,1.45,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,4.2271506,6.601974095240885,-0.9923037080190504,収束 (|dq_ratio|<1%)  (f_solver=0)
188.01_10,188.01,188.01,2.149368878100929,249.67333431527183,-0.335,2047.9073,1.51,66.84491978609627,False,B_deep_x<=-0.20,False,True,True,True,False,False,6.3722718,13.696362689720187,0.823140272753681,収束 (|dq_ratio|<1%)  (f_solver=0)
19.01_10,19.01,19.01,1.0857586936402024,74.31081192490194,-0.018,3851.6932,2.8400000000000003,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,4.8580686,5.274690216750487,-0.0062197660192254,収束 (|dq_ratio|<1%)  (f_solver=0)
196.01_10,196.01,196.01,0.8841447681755321,61.85955609096459,0.015,3037.9552,2.24,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,4.29655158,3.798773600653316,0.0818540262396996,収束 (|dq_ratio|<1%)  (f_solver=0)
197.01_10,197.01,197.01,1.035657655963962,75.46157701295215,-0.014,3241.3897,2.39,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,5.0157981,5.194649703034494,-0.5513598409493335,収束 (|dq_ratio|<1%)  (f_solver=0)
198.01_10,198.01,198.01,1.2980153216050032,76.56717653219835,-0.09,3254.952,2.4000000000000004,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,4.100967,5.323117999396505,-0.3547049524252508,収束 (|dq_ratio|<1%)  (f_solver=0)
199.01_10,199.01,199.01,1.5801796486201998,106.11665306734947,-0.144,3390.575,2.5,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,5.299711199999999,8.374495781804537,0.6218485703386165,収束 (|dq_ratio|<1%)  (f_solver=0)
2.01_10,2.01,2.01,1.2858764091406156,93.25734584317443,-0.03,2224.2172,1.64,80.0,False,B_main_x>-0.20,False,False,True,True,True,False,3.3438654,4.299797633201548,0.963540225351672,収束 (|dq_ratio|<1%)  (f_solver=0)
20.01_10,20.01,20.01,1.1165611650523526,75.46157701295215,-0.026,3905.9424,2.88,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,4.889614499999999,5.459553662776876,0.3848795453033805,収束 (|dq_ratio|<1%)  (f_solver=0)
200.01_10,200.01,200.01,1.090984830660081,79.31866378958193,-0.027,3390.575,2.5,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,5.299711199999999,5.781904526079334,-0.1793528182224258,収束 (|dq_ratio|<1%)  (f_solver=0)
201.01_10,201.01,201.01,1.696711804699104,122.21707720506936,-0.174,3404.1373,2.51,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,5.8359915,9.901995670173632,0.1557716901061284,収束 (|dq_ratio|<1%)  (f_solver=0)
202.01_10,202.01,202.01,1.246383451509764,94.40186587765923,-0.056,3404.1373,2.51,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,5.8359915,7.273883228751646,0.4657326797354334,収束 (|dq_ratio|<1%)  (f_solver=0)
203.01_10,203.01,203.01,1.1830251235337732,76.56717653219835,-0.061,3458.3865,2.55,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,4.7634309,5.635258428917092,0.1142740492979284,収束 (|dq_ratio|<1%)  (f_solver=0)
204.01_10,204.01,204.01,1.5158593908629203,107.79264087372076,-0.128,3471.9488,2.56,66.84491978609627,True,B_main_x>-0.20,False,False,True,True,True,True,5.7413538,8.703085073996514,0.4298431743946722,収束 (|dq_ratio|<1%)  (f_solver=0)
205.01_10,205.01,205.01,2.0745127624661843,162.25628229717415,-0.284,3594.0095,2.65,66.84491978609627,True,B_deep_x<=-0.20,False,True,True,True,False,True,6.940098,14.397321873766042,-0.2672118633887431,収束 (|dq_ratio|<1%)  (f_solver=0)
