group,N,G_raw_mean,G_raw_median,G_raw_min,G_raw_max,L_over_D_mean,L_over_D_median,L_over_D_min,L_over_D_max,InletSubcool_BTUlb_mean,InletSubcool_BTUlb_median,InletSubcool_BTUlb_min,InletSubcool_BTUlb_max,qM_mean,qM_median,qM_min,qM_max,qM_over_Graw_mean,qM_over_Graw_median,qM_over_Graw_min,qM_over_Graw_max,x_mean,x_median,x_min,x_max,x_gt_0p05_N,x_gt_0p10_N,qM_lt_0p85_N,G_lt_2p0_N
not_old86_9,9,2.0022222222222226,1.88,1.81,2.94,67.8698752228164,66.84491978609626,64.58333333333334,75.98039215686275,44.411111111111104,22.0,5.1,116.4,0.7306666666666666,0.709,0.66,0.85,0.37301833924606054,0.387431693989071,0.23197278911564628,0.44530386740331496,0.12411111111111112,0.123,0.041,0.188,8,7,8,8
old86_86,86,2.4506511627906975,2.51,1.8,3.0,68.5925884880311,66.84491978609626,64.51612903225806,80.0,145.4523255813954,139.6,17.8,514.6,1.252720930232558,1.21,0.535,3.16,0.5181687272893567,0.5261940298507463,0.21314741035856577,1.1326164874551972,-0.004616279069767442,0.024,-0.457,0.137,39,7,29,2
all95,95,2.4081684210526313,2.51,1.8,3.0,68.52412091553708,66.84491978609626,64.51612903225806,80.0,135.88000000000002,95.6,5.1,514.6,1.2032631578947368,1.0,0.535,3.16,0.5044176378957813,0.44530386740331496,0.21314741035856577,1.1326164874551972,0.007578947368421053,0.049,-0.457,0.188,47,14,37,10
