No_TableNo,P,Ts,rhoG,rhoL,HG,HL,muG,muL,KL,CPL,sigma,No,G,A,Pw,DH,L_DNB,q_in,Tin,Tf,f(beta),Re,f,f_left,f_rihgt,f_balance,DB,Tw,y_plus,Tm,Tw_balance,y_star,tauw,Utau,y_plus2,Q,Pr,T(y_plus),y_star_balance,delta,UB,LB,YB,YB_plus,Karman_UB,UBL,UB_left,CD,UB_right,UB_balance,HG-HL,LB/UB,q_P,dq_chf,dq_ratio,q_M,PM_ratio,F_form,x_Mes,A_corr,σ_corr,Fcorr,Tsub,q_P_MW,Tsub2,Fcorr2,(Tsub-40)^2,F2,L,_source,_table,_origin,_source_ExptNo,_flag_norm,_Hsub_kJkg,_L_over_D,_G_band2,_x_band2
326.09_10_source09,13789520,,,,,,,,,,,326.09,1289.3828688631618,,,0.0077215999999999995,0.4572,2697175.09125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697175.09125,,1,0.013,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,326.09,none,481.482,59.21052631578947,G<1900,0<x<=0.05
327.09_10_source09,13789520,,,,,,,,,,,327.09,1301.5852303981444,,,0.0077215999999999995,0.4572,2697175.09125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697175.09125,,1,0.024,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,327.09,none,465.2,59.21052631578947,G<1900,0<x<=0.05
329.09_10_source09,13789520,,,,,,,,,,,329.09,1335.4806791064293,,,0.0077215999999999995,0.4572,3627779.3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3627779.3625,,1,-0.156,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,329.09,none,811.774,59.21052631578947,G<1900,-0.20<x<=-0.10
332.09_10_source09,13789520,,,,,,,,,,,332.09,1350.394676538075,,,0.0077215999999999995,0.4572,3564687.5475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3564687.5475,,1,-0.126,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,332.09,none,760.602,59.21052631578947,G<1900,-0.20<x<=-0.10
333.09_10_source09,13789520,,,,,,,,,,,333.09,1353.1063124347377,,,0.0077215999999999995,0.4572,3217682.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3217682.565,,1,-0.056,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,333.09,none,623.368,59.21052631578947,G<1900,-0.10<x<=0
336.09_10_source09,13789520,,,,,,,,,,,336.09,1355.8179483314004,,,0.0077215999999999995,0.4572,4511064.7725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511064.7725,,1,-0.221,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,336.09,none,1025.766,59.21052631578947,G<1900,x<=-0.20
337.09_10_source09,13789520,,,,,,,,,,,337.09,1355.8179483314004,,,0.0077215999999999995,0.4572,4952707.477500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4952707.477500001,,1,-0.331,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,337.09,none,1221.15,59.21052631578947,G<1900,x<=-0.20
338.09_10_source09,13789520,,,,,,,,,,,338.09,1355.8179483314004,,,0.0077215999999999995,0.4572,4100967.9750000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100967.9750000006,,1,-0.199,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,338.09,none,930.4,59.21052631578947,G<1900,-0.20<x<=-0.10
340.09_10_source09,13789520,,,,,,,,,,,340.09,1369.3761278147144,,,0.0077215999999999995,0.4572,2712948.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2712948.045,,1,0.012,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,340.09,none,455.896,59.21052631578947,G<1900,0<x<=0.05
341.09_10_source09,13789520,,,,,,,,,,,341.09,1369.3761278147144,,,0.0077215999999999995,0.4572,5331258.367500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5331258.367500001,,1,-0.345,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,341.09,none,1293.256,59.21052631578947,G<1900,x<=-0.20
