No_TableNo,P,Ts,rhoG,rhoL,HG,HL,muG,muL,KL,CPL,sigma,No,G,A,Pw,DH,L_DNB,q_in,Tin,Tf,f(beta),Re,f,f_left,f_rihgt,f_balance,DB,Tw,y_plus,Tm,Tw_balance,y_star,tauw,Utau,y_plus2,Q,Pr,T(y_plus),y_star_balance,delta,UB,LB,YB,YB_plus,Karman_UB,UBL,UB_left,CD,UB_right,UB_balance,HG-HL,LB/UB,q_P,dq_chf,dq_ratio,q_M,PM_ratio,F_form,x_Mes,A_corr,σ_corr,Fcorr,Tsub,q_P_MW,Tsub2,Fcorr2,(Tsub-40)^2,F2,L,_source,_table,_origin,_source_ExptNo,_flag_norm,_Hsub_kJkg,_L_over_D,_G_band2,_x_band2
583.09_10_source09,13789520,,,,,,,,,,,583.09,660.283340837392,,,0.0110744,0.4572,2845440.8565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2845440.8565,,1,-0.08,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,583.09,J,797.818,41.28440366972477,G<1900,-0.10<x<=0
584.09_10_source09,13789520,,,,,,,,,,,584.09,665.7066126307176,,,0.0110744,0.4572,3022097.9385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3022097.9385,,1,-0.129,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,584.09,J,888.532,41.28440366972477,G<1900,-0.20<x<=-0.10
585.09_10_source09,13789520,,,,,,,,,,,585.09,672.4857023723746,,,0.0110744,0.4572,3217682.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3217682.565,,1,-0.048,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,585.09,J,842.0120000000001,41.28440366972477,G<1900,-0.10<x<=0
587.09_10_source09,13789520,,,,,,,,,,,587.09,672.4857023723746,,,0.0110744,0.4572,3343866.1950000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3343866.1950000003,,1,-0.145,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,587.09,J,976.9200000000001,41.28440366972477,G<1900,-0.20<x<=-0.10
588.09_10_source09,13789520,,,,,,,,,,,588.09,672.4857023723746,,,0.0110744,0.4572,2526827.19075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526827.19075,,1,-0.044,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,588.09,J,667.562,41.28440366972477,G<1900,-0.10<x<=0
590.09_10_source09,13789520,,,,,,,,,,,590.09,677.9089741657002,,,0.0110744,0.4572,3911692.5300000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3911692.5300000003,,1,-0.146,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,590.09,J,1109.502,41.28440366972477,G<1900,-0.20<x<=-0.10
591.09_10_source09,13789520,,,,,,,,,,,591.09,680.620610062363,,,0.0110744,0.4572,2791812.81375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2791812.81375,,1,-0.011,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,591.09,J,688.496,41.28440366972477,G<1900,-0.10<x<=0
593.09_10_source09,13789520,,,,,,,,,,,593.09,684.6880639073572,,,0.0110744,0.4572,2492126.6925000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2492126.6925000004,,1,-0.004,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,593.09,J,604.76,41.28440366972477,G<1900,-0.10<x<=0
594.09_10_source09,13789520,,,,,,,,,,,594.09,686.0438818556886,,,0.0110744,0.4572,3470049.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3470049.825,,1,-0.188,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,594.09,J,1037.396,41.28440366972477,G<1900,-0.20<x<=-0.10
595.09_10_source09,13789520,,,,,,,,,,,595.09,686.0438818556886,,,0.0110744,0.4572,2883295.9455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2883295.9455,,1,-0.047,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,595.09,J,744.32,41.28440366972477,G<1900,-0.10<x<=0
596.09_10_source09,13789520,,,,,,,,,,,596.09,686.0438818556886,,,0.0110744,0.4572,2214522.7065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2214522.7065,,1,0.013,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,596.09,J,518.698,41.28440366972477,G<1900,0<x<=0.05
597.09_10_source09,13789520,,,,,,,,,,,597.09,687.39969980402,,,0.0110744,0.4572,3470049.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3470049.825,,1,-0.323,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,597.09,J,1181.608,41.28440366972477,G<1900,x<=-0.20
598.09_10_source09,13789520,,,,,,,,,,,598.09,688.7555177523515,,,0.0110744,0.4572,2208213.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208213.525,,1,0.023,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,598.09,J,504.742,41.28440366972477,G<1900,0<x<=0.05
601.09_10_source09,13789520,,,,,,,,,,,601.09,690.1113357006828,,,0.0110744,0.4572,3564687.5475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3564687.5475,,1,-0.493,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,601.09,J,1383.97,41.28440366972477,G<1900,x<=-0.20
602.09_10_source09,13789520,,,,,,,,,,,602.09,690.1113357006828,,,0.0110744,0.4572,3785508.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3785508.9,,1,-0.351,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,602.09,J,1283.952,41.28440366972477,G<1900,x<=-0.20
604.09_10_source09,13789520,,,,,,,,,,,604.09,696.8904254423398,,,0.0110744,0.4572,3848600.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3848600.715,,1,-0.285,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,604.09,J,1218.824,41.28440366972477,G<1900,x<=-0.20
607.09_10_source09,13789520,,,,,,,,,,,607.09,1325.9899534681097,,,0.0110744,0.4572,3596233.4549999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3596233.4549999996,,1,-0.238,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,607.09,J,704.778,41.28440366972477,G<1900,x<=-0.20
608.09_10_source09,13789520,,,,,,,,,,,608.09,1328.7015893647724,,,0.0110744,0.4572,3675098.22375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3675098.22375,,1,-0.235,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,608.09,J,709.4300000000001,41.28440366972477,G<1900,x<=-0.20
609.09_10_source09,13789520,,,,,,,,,,,609.09,1342.2597688480864,,,0.0110744,0.4572,2315469.6105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2315469.6105,,1,-0.01,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,609.09,J,295.402,41.28440366972477,G<1900,-0.10<x<=0
610.09_10_source09,13789520,,,,,,,,,,,610.09,1343.6155867964178,,,0.0110744,0.4572,3911692.5300000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3911692.5300000003,,1,-0.316,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,610.09,J,821.078,41.28440366972477,G<1900,x<=-0.20
611.09_10_source09,13789520,,,,,,,,,,,611.09,1343.6155867964178,,,0.0110744,0.4572,2012628.8985000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012628.8985000001,,1,0.041,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,611.09,J,203.525,41.28440366972477,G<1900,0<x<=0.05
613.09_10_source09,13789520,,,,,,,,,,,613.09,1343.6155867964178,,,0.0110744,0.4572,4100967.9750000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100967.9750000006,,1,-0.312,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,613.09,J,839.686,41.28440366972477,G<1900,x<=-0.20
614.09_10_source09,13789520,,,,,,,,,,,614.09,1344.9714047447492,,,0.0110744,0.4572,2640392.45775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640392.45775,,1,-0.066,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,614.09,J,395.42,41.28440366972477,G<1900,-0.10<x<=0
615.09_10_source09,13789520,,,,,,,,,,,615.09,1349.0388585897433,,,0.0110744,0.4572,3249228.4725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3249228.4725,,1,-0.184,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,615.09,J,595.456,41.28440366972477,G<1900,-0.20<x<=-0.10
616.09_10_source09,13789520,,,,,,,,,,,616.09,1355.8179483314004,,,0.0110744,0.4572,2955851.5327500002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2955851.5327500002,,1,-0.113,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,616.09,J,481.482,41.28440366972477,G<1900,-0.20<x<=-0.10
617.09_10_source09,13789520,,,,,,,,,,,617.09,1355.8179483314004,,,0.0110744,0.4572,3186136.6575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3186136.6575,,1,-0.171,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,617.09,J,572.196,41.28440366972477,G<1900,-0.20<x<=-0.10
618.09_10_source09,13789520,,,,,,,,,,,618.09,1355.8179483314004,,,0.0110744,0.4572,2829667.9027500004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2829667.9027500004,,1,-0.116,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,618.09,J,469.85200000000003,41.28440366972477,G<1900,-0.20<x<=-0.10
619.09_10_source09,13789520,,,,,,,,,,,619.09,1369.3761278147144,,,0.0110744,0.4572,3470049.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3470049.825,,1,-0.242,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,619.09,J,679.192,41.28440366972477,G<1900,x<=-0.20
620.09_10_source09,13789520,,,,,,,,,,,620.09,1369.3761278147144,,,0.0110744,0.4572,2504745.0555000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2504745.0555000002,,1,-0.065,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,620.09,J,372.16,41.28440366972477,G<1900,-0.10<x<=0
622.09_10_source09,13789520,,,,,,,,,,,622.09,1396.4924867813424,,,0.0110744,0.4572,1848590.1794999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848590.1794999999,,1,0.045,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,622.09,J,169.798,41.28440366972477,G<1900,0<x<=0.05
623.09_10_source09,13789520,,,,,,,,,,,623.09,1410.0506662646565,,,0.0110744,0.4572,2205058.93425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2205058.93425,,1,-0.013,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,623.09,J,272.142,41.28440366972477,G<1900,-0.10<x<=0
628.09_10_source09,13789520,,,,,,,,,,,628.09,1925.2614866305885,,,0.0110744,0.4572,3911692.5300000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3911692.5300000003,,1,-0.228,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,628.09,J,581.5,41.28440366972477,1900<=G<=4200,x<=-0.20
629.09_10_source09,13789520,,,,,,,,,,,629.09,1952.3778455972165,,,0.0110744,0.4572,3596233.4549999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3596233.4549999996,,1,-0.143,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,629.09,J,458.22200000000004,41.28440366972477,1900<=G<=4200,-0.20<x<=-0.10
630.09_10_source09,13789520,,,,,,,,,,,630.09,1952.3778455972165,,,0.0110744,0.4572,2236604.84175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2236604.84175,,1,0.028,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,630.09,J,159.33100000000002,41.28440366972477,1900<=G<=4200,0<x<=0.05
632.09_10_source09,13789520,,,,,,,,,,,632.09,1965.9360250805305,,,0.0110744,0.4572,2015783.4892499999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015783.4892499999,,1,0.024,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,632.09,J,143.049,41.28440366972477,1900<=G<=4200,0<x<=0.05
633.09_10_source09,13789520,,,,,,,,,,,633.09,1993.0523840471585,,,0.0110744,0.4572,3009479.5755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3009479.5755,,1,-0.09,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,633.09,J,346.574,41.28440366972477,1900<=G<=4200,-0.10<x<=0
634.09_10_source09,13789520,,,,,,,,,,,634.09,1993.0523840471585,,,0.0110744,0.4572,2643547.0485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2643547.0485,,1,-0.008,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,634.09,J,227.948,41.28440366972477,1900<=G<=4200,-0.10<x<=0
635.09_10_source09,13789520,,,,,,,,,,,635.09,1993.0523840471585,,,0.0110744,0.4572,2337551.74575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2337551.74575,,1,0.013,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,635.09,J,179.102,41.28440366972477,1900<=G<=4200,0<x<=0.05
636.09_10_source09,13789520,,,,,,,,,,,636.09,1993.0523840471585,,,0.0110744,0.4572,2829667.9027500004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2829667.9027500004,,1,-0.042,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,636.09,J,279.12,41.28440366972477,1900<=G<=4200,-0.10<x<=0
637.09_10_source09,13789520,,,,,,,,,,,637.09,1993.0523840471585,,,0.0110744,0.4572,2523672.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2523672.6,,1,-0.015,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,637.09,J,225.622,41.28440366972477,1900<=G<=4200,-0.10<x<=0
638.09_10_source09,13789520,,,,,,,,,,,638.09,2006.6105635304723,,,0.0110744,0.4572,3145126.97775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3145126.97775,,1,-0.073,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,638.09,J,337.27,41.28440366972477,1900<=G<=4200,-0.10<x<=0
639.09_10_source09,13789520,,,,,,,,,,,639.09,2006.6105635304723,,,0.0110744,0.4572,4164059.7900000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4164059.7900000005,,1,-0.213,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,639.09,J,572.196,41.28440366972477,1900<=G<=4200,x<=-0.20
640.09_10_source09,13789520,,,,,,,,,,,640.09,2020.1687430137863,,,0.0110744,0.4572,2829667.9027500004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2829667.9027500004,,1,-0.04,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,640.09,J,274.468,41.28440366972477,1900<=G<=4200,-0.10<x<=0
641.09_10_source09,13789520,,,,,,,,,,,641.09,2033.7269224971003,,,0.0110744,0.4572,3422730.9637499996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3422730.9637499996,,1,-0.092,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,641.09,J,376.812,41.28440366972477,1900<=G<=4200,-0.10<x<=0
642.09_10_source09,13789520,,,,,,,,,,,642.09,2033.7269224971003,,,0.0110744,0.4572,3391185.05625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3391185.05625,,1,-0.09,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,642.09,J,372.16,41.28440366972477,1900<=G<=4200,-0.10<x<=0
643.09_10_source09,13789520,,,,,,,,,,,643.09,2033.7269224971003,,,0.0110744,0.4572,3145126.97775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3145126.97775,,1,-0.076,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,643.09,J,337.27,41.28440366972477,1900<=G<=4200,-0.10<x<=0
644.09_10_source09,13789520,,,,,,,,,,,644.09,2047.2851019804148,,,0.0110744,0.4572,3564687.5475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3564687.5475,,1,-0.599,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,644.09,J,932.726,41.28440366972477,1900<=G<=4200,x<=-0.20
645.09_10_source09,13789520,,,,,,,,,,,645.09,2047.2851019804148,,,0.0110744,0.4572,2536290.9630000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2536290.9630000005,,1,-0.008,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,645.09,J,212.829,41.28440366972477,1900<=G<=4200,-0.10<x<=0
646.09_10_source09,13789520,,,,,,,,,,,646.09,2047.2851019804148,,,0.0110744,0.4572,2223986.4787500002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2223986.4787500002,,1,0.032,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,646.09,J,145.375,41.28440366972477,1900<=G<=4200,0<x<=0.05
647.09_10_source09,13789520,,,,,,,,,,,647.09,2060.8432814637285,,,0.0110744,0.4572,3753962.9925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3753962.9925,,1,-0.142,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,647.09,J,453.57,41.28440366972477,1900<=G<=4200,-0.20<x<=-0.10
648.09_10_source09,13789520,,,,,,,,,,,648.09,2074.401460947043,,,0.0110744,0.4572,3280774.3800000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3280774.3800000004,,1,-0.269,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,648.09,J,551.2620000000001,41.28440366972477,1900<=G<=4200,x<=-0.20
649.09_10_source09,13789520,,,,,,,,,,,649.09,2101.517819913671,,,0.0110744,0.4572,3974784.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3974784.345,,1,-0.82,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,649.09,J,1195.564,41.28440366972477,1900<=G<=4200,x<=-0.20
