model,residual_vs,R2,slope,intercept,resid_mean,resid_sd
Tsub_poly2,LD,0.01720078359762245,-0.0002486765350286884,0.024249057759873693,-3.261894196243823e-16,0.15168725323667975
Tsub_poly2,logLD,0.04604131407527279,-0.0710164679111121,0.00303962705983557,-3.261894196243823e-16,0.15168725323667975
Tsub_poly2,x,0.3864274986967663,-0.9771124498884449,-0.06883886914656591,-3.261894196243823e-16,0.15168725323667975
Tsub_poly2,G_kg_m2s,0.12119853720407325,5.56066537405151e-05,-0.1373801849474903,-3.261894196243823e-16,0.15168725323667975
Tsub_poly2,Tsub,0.0,5.773406004130344e-18,-1.105752306722465e-15,-3.261894196243823e-16,0.15168725323667975
Tsub_saturation,LD,0.1600523846624854,-0.0008112251787858855,0.07910455320384245,-8.412129842263216e-11,0.16221788807074927
Tsub_saturation,logLD,0.2103967562055793,-0.16235078349358192,0.006948892886876964,-8.412129842263216e-11,0.16221788807074927
Tsub_saturation,x,0.5554244147935743,-1.2527738337454173,-0.08825957964560154,-8.412129842263216e-11,0.16221788807074927
Tsub_saturation,G_kg_m2s,0.07621696636204633,4.715780228217038e-05,-0.11650669781625708,-8.412129842263216e-11,0.16221788807074927
Tsub_saturation,Tsub,0.0030410476484821203,-0.00010955503167861361,0.014792833943210654,-8.412129842263216e-11,0.16221788807074927
Tsub_saturation_plus_logLD,LD,0.005757967804330133,0.00012208367608493103,-0.011904678241451722,-9.166281303307078e-11,0.12870972950405266
Tsub_saturation_plus_logLD,logLD,0.0,-9.072810675749391e-10,-5.282962173257713e-11,-9.166281303307078e-11,0.12870972950405266
Tsub_saturation_plus_logLD,x,0.27851043604129155,-0.7038717936637545,-0.049588702298363256,-9.166281303307078e-11,0.12870972950405266
Tsub_saturation_plus_logLD,G_kg_m2s,0.2677807371437534,7.013422929575539e-05,-0.1732715915951168,-9.166281303307078e-11,0.12870972950405266
Tsub_saturation_plus_logLD,Tsub,0.00015343318825422614,1.952508825907174e-05,-0.0026364046963619435,-9.166281303307078e-11,0.12870972950405266
Tsub_saturation_plus_x_DIAG_ONLY,LD,0.05928700957218569,0.00011278133479103855,-0.010997584092978546,-1.7472267487302405e-11,0.037054917735258874
Tsub_saturation_plus_x_DIAG_ONLY,logLD,0.04584455190582726,0.017311147049334275,-0.000740946907055906,-1.7472267487302405e-11,0.037054917735258874
Tsub_saturation_plus_x_DIAG_ONLY,x,0.0,-9.751387084366494e-10,-8.617208392857821e-11,-1.7472267487302405e-11,0.037054917735258874
Tsub_saturation_plus_x_DIAG_ONLY,G_kg_m2s,0.007498396584689648,-3.378773205523958e-06,0.008347499007312695,-1.7472267487302405e-11,0.037054917735258874
Tsub_saturation_plus_x_DIAG_ONLY,Tsub,0.0034103208626018455,2.6501194387830952e-05,-0.0035783639145799944,-1.7472267487302405e-11,0.037054917735258874
Tsub_saturation_plus_logLD_plus_x_DIAG_ONLY,LD,0.00020705946137478115,6.244152390106183e-06,-0.0006088825880918922,-1.1133002091500468e-12,0.0347147745688141
Tsub_saturation_plus_logLD_plus_x_DIAG_ONLY,logLD,0.0,-1.0529793308494788e-10,3.3936325652369987e-12,-1.1133002091500468e-12,0.0347147745688141
Tsub_saturation_plus_logLD_plus_x_DIAG_ONLY,x,0.0,-1.1244068808363228e-09,-8.032925753957453e-11,-1.1133002091500468e-12,0.0347147745688141
Tsub_saturation_plus_logLD_plus_x_DIAG_ONLY,G_kg_m2s,0.08194273696692134,-1.0464020147088347e-05,0.025852104493602184,-1.1133002091500468e-12,0.0347147745688141
Tsub_saturation_plus_logLD_plus_x_DIAG_ONLY,Tsub,5.181759907879613e-05,-3.0603772575109137e-06,0.00041323207173377314,-1.1133002091500468e-12,0.0347147745688141
