LD_filter,N,PM_mean,PM_std,highPM_N_PMge2p2,deep_N_xle_m020,old86_overlap_N,LD_min,LD_max,R2_PM_Tsub_linear,R2_PM_Tsub_quad,R2_PM_x_linear,R2_PM_LD_linear
no_LD_min,117,1.3725898711787883,0.4428662342784811,4,12,47,20.97902097902098,365.3333333333333,0.4551961630342821,0.7202765691478301,0.7676969286976507,0.02040436527223055
LD_ge_40,113,1.351663184974606,0.41120120107477454,2,10,47,64.51612903225806,365.3333333333333,0.5688441099734076,0.8639215275964007,0.754138354020243,0.043322332128368335
LD_ge_50,113,1.351663184974606,0.41120120107477454,2,10,47,64.51612903225806,365.3333333333333,0.5688441099734076,0.8639215275964007,0.754138354020243,0.043322332128368335
LD_ge_60,113,1.351663184974606,0.41120120107477454,2,10,47,64.51612903225806,365.3333333333333,0.5688441099734076,0.8639215275964007,0.754138354020243,0.043322332128368335
LD_ge_64,113,1.351663184974606,0.41120120107477454,2,10,47,64.51612903225806,365.3333333333333,0.5688441099734076,0.8639215275964007,0.754138354020243,0.043322332128368335
LD_ge_65,92,1.3932821711102323,0.40007219525703974,2,9,33,66.84491978609626,365.3333333333333,0.5738650765369864,0.8493865900982162,0.793293487977717,0.03730893681590053
LD_ge_66,92,1.3932821711102323,0.40007219525703974,2,9,33,66.84491978609626,365.3333333333333,0.5738650765369864,0.8493865900982162,0.793293487977717,0.03730893681590053
LD_ge_67,58,1.272330625328975,0.3495542491409762,0,0,17,75.98039215686275,365.3333333333333,0.7318696866641197,0.9611763689047179,0.7878085746212334,0.25302167478415794
LD_ge_70,58,1.272330625328975,0.3495542491409762,0,0,17,75.98039215686275,365.3333333333333,0.7318696866641197,0.9611763689047179,0.7878085746212334,0.25302167478415794
LD_ge_75,58,1.272330625328975,0.3495542491409762,0,0,17,75.98039215686275,365.3333333333333,0.7318696866641197,0.9611763689047179,0.7878085746212334,0.25302167478415794
LD_ge_80,39,1.4475959468813873,0.2154146620818239,0,0,13,80.0,365.3333333333333,0.8251706363264243,0.9643084788429811,0.7081792477669226,0.2796789820014981
LD_ge_90,18,1.6294265639599164,0.1234553842444821,0,0,0,108.8495575221239,365.3333333333333,0.49455201622462497,0.8707654051569362,0.6361057109318047,2.0157631661632536e-06
LD_ge_100,18,1.6294265639599164,0.1234553842444821,0,0,0,108.8495575221239,365.3333333333333,0.49455201622462497,0.8707654051569362,0.6361057109318047,2.0157631661632536e-06
LD_ge_120,9,1.6292562234291146,0.026739185204419355,0,0,0,365.3333333333333,365.3333333333333,0.05658372993693561,0.07998239103813265,0.5736425393016498,0.0
LD_ge_200,9,1.6292562234291146,0.026739185204419355,0,0,0,365.3333333333333,365.3333333333333,0.05658372993693561,0.07998239103813265,0.5736425393016498,0.0
