row_No_M,key,TableNo,ExptNo,tmA_No_TableNo,tmB_P_Pa,tmN_G_kg_m2s,tmQ_DH_m,tmR_L_DNB_m,tmBR_L_m,tmT_Tin_K,tmBE_qM_W_m2,tmBH_x_Mes,seed_tmS_q_in_W_m2,seed_tmX_f,seed_tmAC_Tw,seed_tmAG_y_star,seed_tmAP_UB,const_tmV_fbeta,const_tmBG_Fform,const_tmBI_Acorr,const_tmBJ_sigcorr,const_tmBK_Fcorr,const_tmBQ_F2,QA_Pressure_MPa,QA_Hsub_kJ_kg,QA_Tsat_K_IF97,QA_hf_sat_kJ_kg,QA_h_in_kJ_kg,QA_Tsub_K,QA_IF97_region,QA_Tin_lt_Tsat,prov_D_mm,prov_L_mm,prov_qCHF_MW_m2
59,T10_149.01,10,149.01,149.01_10,13789514.586336,5696.166,0.004724399999999999,0.30479999999999996,0.30479999999999996,484.79692300617296,9022127.399999999,-0.227,9022127.399999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,653.1408,608.6241187356576,1562.6001257440564,909.4593257440564,123.82719572948463,1,True,4.724399999999999,304.79999999999995,9.022127399999999
60,T10_15.01,10,15.01,15.01_10,13789514.586336,3132.8913000000002,0.0019049999999999998,0.15239999999999998,0.15239999999999998,459.19505297445465,6750822.600000001,-0.071,6750822.600000001,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,766.417,608.6241187356576,1562.6001257440564,796.1831257440564,149.42906576120293,1,True,1.9049999999999998,152.39999999999998,6.7508226
61,T10_150.01,10,150.01,150.01_10,13789514.586336,520.79232,0.004749799999999999,0.3175,0.3175,540.4903579919064,851739.2999999999,0.041,851739.2999999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,392.8614,608.6241187356576,1562.6001257440564,1169.7387257440564,68.13376074375117,1,True,4.7498,317.5,0.8517393
62,T10_152.01,10,152.01,152.01_10,13789514.586336,644.20925,0.004749799999999999,0.3175,0.3175,538.266586104927,1100951.91,0.049,1100951.91,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,403.7936,608.6241187356576,1562.6001257440564,1158.8065257440564,70.35753263073059,1,True,4.7498,317.5,1.1009519099999998
63,T10_154.01,10,154.01,154.01_10,13789514.586336,782.54471,0.004749799999999999,0.3175,0.3175,332.4538145639305,3217681.8,-0.189,3217681.8,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,1302.7926,608.6241187356576,1562.6001257440564,259.8075257440564,276.1703041717271,1,True,4.7498,317.5,3.2176818
64,T10_16.01,10,16.01,16.01_10,13789514.586336,3146.4536,0.0019049999999999998,0.15239999999999998,0.15239999999999998,528.1875960501724,4164058.8000000003,-0.027,4164058.8000000003,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,452.6396,608.6241187356576,1562.6001257440564,1109.9605257440564,80.43652268548522,1,True,1.9049999999999998,152.39999999999998,4.1640588
65,T10_161.01,10,161.01,161.01_10,13789514.586336,1019.88496,0.004749799999999999,0.3175,0.3175,486.40399679345416,2082029.4000000001,-0.093,2082029.4000000001,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,645.9302,608.6241187356576,1562.6001257440564,916.6699257440564,122.22012194220343,1,True,4.7498,317.5,2.0820294
66,T10_164.01,10,164.01,164.01_10,13789514.586336,1063.28432,0.004749799999999999,0.3175,0.3175,448.1362430027391,3217681.8,-0.005,3217681.8,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,814.5652,608.6241187356576,1562.6001257440564,748.0349257440564,160.4878757329185,1,True,4.7498,317.5,3.2176818
67,T10_165.01,10,165.01,165.01_10,13789514.586336,1078.2028500000001,0.004749799999999999,0.3175,0.3175,505.0361084992016,2249222.6699999995,-0.003,2249222.6699999995,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,561.2638000000001,608.6241187356576,1562.6001257440564,1001.3363257440564,103.588010236456,1,True,4.7498,317.5,2.2492226699999995
68,T10_167.01,10,167.01,167.01_10,13789514.586336,1084.9840000000002,0.004749799999999999,0.3175,0.3175,469.78529182284683,2429034.3000000003,-0.113,2429034.3000000003,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,719.897,608.6241187356576,1562.6001257440564,842.7031257440564,138.83882691281076,1,True,4.7498,317.5,2.4290343
69,T10_169.01,10,169.01,169.01_10,13789514.586336,1213.82585,0.004749799999999999,0.3175,0.3175,308.68126097636406,4605701.399999999,-0.359,4605701.399999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,1401.415,608.6241187356576,1562.6001257440564,161.18512574405645,299.94285775929353,1,True,4.7498,317.5,4.605701399999999
70,T10_17.01,10,17.01,17.01_10,13789514.586336,3146.4536,0.0019049999999999998,0.15239999999999998,0.15239999999999998,533.1594969855714,3943237.4999999995,-0.026,3943237.4999999995,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,428.68180000000007,608.6241187356576,1562.6001257440564,1133.9183257440563,75.46462175008617,1,True,1.9049999999999998,152.39999999999998,3.9432374999999995
71,T10_170.01,10,170.01,170.01_10,13789514.586336,1216.5383100000001,0.004749799999999999,0.3175,0.3175,328.4204125964419,4605701.399999999,-0.285,4605701.399999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,1319.5398,608.6241187356576,1562.6001257440564,243.0603257440564,280.2037061392157,1,True,4.7498,317.5,4.605701399999999
72,T10_171.01,10,171.01,171.01_10,13789514.586336,1301.9808,0.004749799999999999,0.3175,0.3175,446.9018297876869,3280773.5999999996,-0.136,3280773.5999999996,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,819.9150000000001,608.6241187356576,1562.6001257440564,742.6851257440563,161.7222889479707,1,True,4.7498,317.5,3.2807736
73,T10_18.01,10,18.01,18.01_10,13789514.586336,3634.6964000000003,0.0019049999999999998,0.15239999999999998,0.15239999999999998,541.6211536112595,4416425.999999999,0.001,4416425.999999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,387.279,608.6241187356576,1562.6001257440564,1175.3211257440564,67.00296512439809,1,True,1.9049999999999998,152.39999999999998,4.4164259999999995
74,T10_180.01,10,180.01,180.01_10,13789514.586336,1695.2875,0.004749799999999999,0.3175,0.3175,510.32146414329304,2981087.55,-0.062,2981087.55,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,536.8408000000001,608.6241187356576,1562.6001257440564,1025.7593257440562,98.30265459236455,1,True,4.7498,317.5,2.98108755
75,T10_182.01,10,182.01,182.01_10,13789514.586336,1803.7859,0.004749799999999999,0.3175,0.3175,502.50442093117414,3217681.8,-0.089,3217681.8,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,572.8938,608.6241187356576,1562.6001257440564,989.7063257440564,106.11969780448345,1,True,4.7498,317.5,3.2176818
76,T10_183.01,10,183.01,183.01_10,13789514.586336,1830.9105000000002,0.004749799999999999,0.3175,0.3175,475.8805954029734,3943237.4999999995,-0.109,3943237.4999999995,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,692.9154,608.6241187356576,1562.6001257440564,869.6847257440564,132.74352333268416,1,True,4.7498,317.5,3.9432374999999995
77,T10_184.01,10,184.01,184.01_10,13789514.586336,1871.5973999999999,0.004749799999999999,0.3175,0.3175,378.0279620342367,5331257.1,-0.326,5331257.1,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,1112.7584,608.6241187356576,1562.6001257440564,449.8417257440565,230.5961567014209,1,True,4.7498,317.5,5.331257099999999
78,T10_185.01,10,185.01,185.01_10,13789514.586336,1871.5973999999999,0.004749799999999999,0.3175,0.3175,444.1070357450831,4700339.1,-0.149,4700339.1,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,832.0102,608.6241187356576,1562.6001257440564,730.5899257440564,164.51708299057447,1,True,4.7498,317.5,4.7003391
79,T10_186.01,10,186.01,186.01_10,13789514.586336,1898.722,0.004749799999999999,0.3175,0.3175,486.40399679345416,3880145.6999999993,-0.092,3880145.6999999993,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,645.9302,608.6241187356576,1562.6001257440564,916.6699257440564,122.22012194220343,1,True,4.7498,317.5,3.8801456999999995
80,T10_187.01,10,187.01,187.01_10,13789514.586336,1966.5335,0.004749799999999999,0.3175,0.3175,473.6778720134594,4227150.6,-0.119,4227150.6,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,702.6846,608.6241187356576,1562.6001257440564,859.9155257440564,134.94624672219817,1,True,4.7498,317.5,4.2271506
81,T10_188.01,10,188.01,188.01_10,13789514.586336,2047.9073,0.004749799999999999,0.3175,0.3175,358.94773968325165,6372271.8,-0.335,6372271.8,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,1192.5402000000001,608.6241187356576,1562.6001257440564,370.0599257440563,249.67637905240593,1,True,4.7498,317.5,6.3722718
82,T10_19.01,10,19.01,19.01_10,13789514.586336,3851.6931999999997,0.0019049999999999998,0.15239999999999998,0.15239999999999998,534.3102620736216,4858068.600000001,-0.018,4858068.600000001,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,423.0994,608.6241187356576,1562.6001257440564,1139.5007257440564,74.31385666203596,1,True,1.9049999999999998,152.39999999999998,4.8580686
83,T10_196.01,10,196.01,196.01_10,13789514.586336,3037.9552000000003,0.004749799999999999,0.3175,0.3175,546.761517907559,4296551.58,0.015,4296551.58,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,361.693,608.6241187356576,1562.6001257440564,1200.9071257440564,61.86260082809861,1,True,4.7498,317.5,4.29655158
84,T10_197.01,10,197.01,197.01_10,13789514.586336,3241.3897,0.004749799999999999,0.3175,0.3175,533.1594969855714,5015798.1,-0.014,5015798.1,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,428.68180000000007,608.6241187356576,1562.6001257440564,1133.9183257440563,75.46462175008617,1,True,4.7498,317.5,5.0157981
85,T10_198.01,10,198.01,198.01_10,13789514.586336,3254.9519999999998,0.004749799999999999,0.3175,0.3175,532.0538974663252,4100967.0,-0.09,4100967.0,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,434.0316,608.6241187356576,1562.6001257440564,1128.5685257440564,76.57022126933236,1,True,4.7498,317.5,4.100967
86,T10_199.01,10,199.01,199.01_10,13789514.586336,3390.575,0.004749799999999999,0.3175,0.3175,502.50442093117414,5299711.199999999,-0.144,5299711.199999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,572.8938,608.6241187356576,1562.6001257440564,989.7063257440564,106.11969780448345,1,True,4.7498,317.5,5.299711199999999
87,T10_2.01,10,2.01,2.01_10,13789514.586336,2224.2172,0.0019049999999999998,0.15239999999999998,0.15239999999999998,515.3637281553491,3343865.4,-0.03,3343865.4,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,513.3482,608.6241187356576,1562.6001257440564,1049.2519257440563,93.26039058030847,1,True,1.9049999999999998,152.39999999999998,3.3438654
88,T10_20.01,10,20.01,20.01_10,13789514.586336,3905.9424,0.0019049999999999998,0.15239999999999998,0.15239999999999998,533.1594969855714,4889614.499999999,-0.026,4889614.499999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,428.68180000000007,608.6241187356576,1562.6001257440564,1133.9183257440563,75.46462175008617,1,True,1.9049999999999998,152.39999999999998,4.8896144999999995
89,T10_200.01,10,200.01,200.01_10,13789514.586336,3390.575,0.004749799999999999,0.3175,0.3175,529.3024102089416,5299711.199999999,-0.027,5299711.199999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,447.2898,608.6241187356576,1562.6001257440564,1115.3103257440564,79.32170852671595,1,True,4.7498,317.5,5.299711199999999
90,T10_201.01,10,201.01,201.01_10,13789514.586336,3404.1373,0.004749799999999999,0.3175,0.3175,486.40399679345416,5835991.5,-0.174,5835991.5,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,645.9302,608.6241187356576,1562.6001257440564,916.6699257440564,122.22012194220343,1,True,4.7498,317.5,5.8359914999999996
91,T10_202.01,10,202.01,202.01_10,13789514.586336,3404.1373,0.004749799999999999,0.3175,0.3175,514.2192081208643,5835991.5,-0.056,5835991.5,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,518.698,608.6241187356576,1562.6001257440564,1043.9021257440563,94.40491061479327,1,True,4.7498,317.5,5.8359914999999996
92,T10_203.01,10,203.01,203.01_10,13789514.586336,3458.3864999999996,0.004749799999999999,0.3175,0.3175,532.0538974663252,4763430.899999999,-0.061,4763430.899999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,434.0316,608.6241187356576,1562.6001257440564,1128.5685257440564,76.57022126933236,1,True,4.7498,317.5,4.7634308999999995
93,T10_204.01,10,204.01,204.01_10,13789514.586336,3471.9488,0.004749799999999999,0.3175,0.3175,500.82843312480276,5741353.8,-0.128,5741353.8,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,580.5696,608.6241187356576,1562.6001257440564,982.0305257440564,107.79568561085483,1,True,4.7498,317.5,5.7413538
94,T10_205.01,10,205.01,205.01_10,13789514.586336,3594.0095,0.004749799999999999,0.3175,0.3175,446.36479170134936,6940098.0,-0.284,6940098.0,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,822.241,608.6241187356576,1562.6001257440564,740.3591257440564,162.25932703430823,1,True,4.7498,317.5,6.940098
95,T10_206.01,10,206.01,206.01_10,13789514.586336,3594.0095,0.004749799999999999,0.3175,0.3175,479.80174976923314,6940098.0,-0.148,6940098.0,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,675.4703999999999,608.6241187356576,1562.6001257440564,887.1297257440565,128.82236896642445,1,True,4.7498,317.5,6.940098
96,T10_207.01,10,207.01,207.01_10,13789514.586336,3607.5718,0.004749799999999999,0.3175,0.3175,475.8805954029734,6214542.3,-0.216,6214542.3,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,692.9154,608.6241187356576,1562.6001257440564,869.6847257440564,132.74352333268416,1,True,4.7498,317.5,6.2145423
97,T10_208.01,10,208.01,208.01_10,13789514.586336,3607.5718,0.004749799999999999,0.3175,0.3175,507.00425215748544,6214542.3,-0.085,6214542.3,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,552.1924,608.6241187356576,1562.6001257440564,1010.4077257440564,101.61986657817215,1,True,4.7498,317.5,6.2145423
98,T10_209.01,10,209.01,209.01_10,13789514.586336,3648.2587,0.004749799999999999,0.3175,0.3175,414.4136687668311,8170388.099999999,-0.334,8170388.099999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,959.2424,608.6241187356576,1562.6001257440564,603.3577257440564,194.21044996882648,1,True,4.7498,317.5,8.170388099999998
99,T10_21.01,10,21.01,21.01_10,13789514.586336,3919.5047000000004,0.0019049999999999998,0.15239999999999998,0.15239999999999998,527.6049288929019,5425894.799999999,-0.012,5425894.799999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,455.43080000000003,608.6241187356576,1562.6001257440564,1107.1693257440563,81.01918984275574,1,True,1.9049999999999998,152.39999999999998,5.425894799999999
100,T10_210.01,10,210.01,210.01_10,13789514.586336,3648.2587,0.004749799999999999,0.3175,0.3175,419.60551540006674,7949566.8,-0.329,7949566.8,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,937.1454,608.6241187356576,1562.6001257440564,625.4547257440564,189.01860333559085,1,True,4.7498,317.5,7.9495667999999995
101,T10_213.01,10,213.01,213.01_10,13789514.586336,3783.8817,0.004749799999999999,0.3175,0.3175,357.8882239746534,9968504.4,-0.457,9968504.4,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,1196.9596000000001,608.6241187356576,1562.6001257440564,365.6405257440563,250.7358947610042,1,True,4.7498,317.5,9.9685044
102,T10_216.01,10,216.01,216.01_10,13789514.586336,4258.5622,0.004749799999999999,0.3175,0.3175,575.5619073129234,4006329.3,0.039,4006329.3,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,210.0378,608.6241187356576,1562.6001257440564,1352.5623257440564,33.06221142273421,1,True,4.7498,317.5,4.0063293
103,T10_218.01,10,218.01,218.01_10,13789514.586336,4367.060600000001,0.004749799999999999,0.3175,0.3175,560.2185281912232,4810749.749999999,0.002,4810749.749999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,292.84340000000003,608.6241187356576,1562.6001257440564,1269.7567257440564,48.4055905444344,1,True,4.7498,317.5,4.810749749999999
104,T10_219.01,10,219.01,219.01_10,13789514.586336,4678.9935000000005,0.004749799999999999,0.3175,0.3175,546.6222730383822,5331257.1,-0.054,5331257.1,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,362.3908,608.6241187356576,1562.6001257440564,1200.2093257440565,62.00184569727537,1,True,4.7498,317.5,5.331257099999999
105,T10_22.01,10,22.01,22.01_10,13789514.586336,2264.9040999999997,0.0019049999999999998,0.6959599999999999,0.6959599999999999,298.7481307875481,2116729.8899999997,-0.071,2116729.8899999997,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,1442.5852000000002,608.6241187356576,1562.6001257440564,120.0149257440562,309.87598794810947,1,True,1.9049999999999998,695.9599999999999,2.11672989
106,T10_220.01,10,220.01,220.01_10,13789514.586336,4773.9296,0.004749799999999999,0.3175,0.3175,501.38753824415335,6372271.8,-0.205,6372271.8,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,578.011,608.6241187356576,1562.6001257440564,984.5891257440564,107.23658049150424,1,True,4.7498,317.5,6.3722718
107,T10_221.01,10,221.01,221.01_10,13789514.586336,4787.4919,0.004749799999999999,0.3175,0.3175,549.4428208156231,5394348.899999999,-0.044,5394348.899999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,348.2022,608.6241187356576,1562.6001257440564,1214.3979257440565,59.18129792003447,1,True,4.7498,317.5,5.3943489
108,T10_222.01,10,222.01,222.01_10,13789514.586336,4882.428,0.004749799999999999,0.3175,0.3175,518.1409564264204,6687730.8,-0.124,6687730.8,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,500.3226,608.6241187356576,1562.6001257440564,1062.2775257440564,90.48316230923717,1,True,4.7498,317.5,6.6877308
109,T10_224.01,10,224.01,224.01_10,13789514.586336,4963.8018,0.004749799999999999,0.3175,0.3175,503.6195159206283,6750822.600000001,-0.189,6750822.600000001,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,567.7766,608.6241187356576,1562.6001257440564,994.8235257440564,105.00460281502927,1,True,4.7498,317.5,6.7508226
110,T10_225.01,10,225.01,225.01_10,13789514.586336,4963.8018,0.004749799999999999,0.3175,0.3175,540.4903579919064,6750822.600000001,-0.027,6750822.600000001,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,392.8614,608.6241187356576,1562.6001257440564,1169.7387257440564,68.13376074375117,1,True,4.7498,317.5,6.7508226
111,T10_228.01,10,228.01,228.01_10,13789514.586336,5221.4855,0.004749799999999999,0.3175,0.3175,440.8217339696256,9495315.899999999,-0.334,9495315.899999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,846.1988,608.6241187356576,1562.6001257440564,716.4013257440564,167.802384766032,1,True,4.7498,317.5,9.495315899999998
112,T10_23.01,10,23.01,23.01_10,13789514.586336,2292.0287,0.0019049999999999998,0.6959599999999999,0.6959599999999999,297.0643705785769,2132502.84,-0.083,2132502.84,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,1449.5632,608.6241187356576,1562.6001257440564,113.03692574405636,311.55974815708066,1,True,1.9049999999999998,695.9599999999999,2.13250284
113,T10_230.01,10,230.01,230.01_10,13789514.586336,5316.4216,0.004749799999999999,0.3175,0.3175,441.899675631467,9526861.799999999,-0.336,9526861.799999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,841.5468000000001,608.6241187356576,1562.6001257440564,721.0533257440563,166.72444310419058,1,True,4.7498,317.5,9.526861799999999
114,T10_232.01,10,232.01,232.01_10,13789514.586336,5397.7954,0.004749799999999999,0.3175,0.3175,429.1875287669056,10220871.600000001,-0.362,10220871.600000001,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,896.2078,608.6241187356576,1562.6001257440564,666.3923257440564,179.436589968752,1,True,4.7498,317.5,10.2208716
115,T10_233.01,10,233.01,233.01_10,13789514.586336,5533.4184000000005,0.004749799999999999,0.3175,0.3175,576.6412483437015,4952706.3,0.033,4952706.3,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,203.99020000000002,608.6241187356576,1562.6001257440564,1358.6099257440565,31.982870391956112,1,True,4.7498,317.5,4.9527063
116,T10_234.01,10,234.01,234.01_10,13789514.586336,5574.1053,0.004749799999999999,0.3175,0.3175,380.74557364052004,12681451.799999997,-0.457,12681451.799999997,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,1101.361,608.6241187356576,1562.6001257440564,461.2391257440563,227.87854509513755,1,True,4.7498,317.5,12.681451799999998
117,T10_235.01,10,235.01,235.01_10,13789514.586336,5587.6676,0.004749799999999999,0.3175,0.3175,576.102335699367,4668793.199999999,0.015,4668793.199999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,207.014,608.6241187356576,1562.6001257440564,1355.5861257440565,32.52178303629057,1,True,4.7498,317.5,4.6687932
118,T10_236.01,10,236.01,236.01_10,13789514.586336,5791.102099999999,0.004749799999999999,0.3175,0.3175,576.6412483437015,4195604.699999999,-0.01,4195604.699999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,203.99020000000002,608.6241187356576,1562.6001257440564,1358.6099257440565,31.982870391956112,1,True,4.7498,317.5,4.1956047
119,T10_237.01,10,237.01,237.01_10,13789514.586336,5899.6005,0.004749799999999999,0.3175,0.3175,555.5111616119399,5867537.399999999,-0.048,5867537.399999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,317.26640000000003,608.6241187356576,1562.6001257440564,1245.3337257440564,53.112957123717706,1,True,4.7498,317.5,5.8675374
120,T10_238.01,10,238.01,238.01_10,13789514.586336,6021.6612000000005,0.004749799999999999,0.3175,0.3175,561.1063994353127,5457440.699999999,-0.043,5457440.699999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,288.19140000000004,608.6241187356576,1562.6001257440564,1274.4087257440565,47.51771930034488,1,True,4.7498,317.5,5.457440699999999
121,T10_24.01,10,24.01,24.01_10,13789514.586336,2603.9616,0.0019049999999999998,0.6959599999999999,0.6959599999999999,299.2532546424976,2476353.15,-0.047,2476353.15,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,1440.4918,608.6241187356576,1562.6001257440564,122.1083257440564,309.37086409316,1,True,1.9049999999999998,695.9599999999999,2.47635315
122,T10_240.01,10,240.01,240.01_10,13789514.586336,6197.971100000001,0.004749799999999999,0.3175,0.3175,540.4903579919064,5962175.1,-0.126,5962175.1,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,392.8614,608.6241187356576,1562.6001257440564,1169.7387257440564,68.13376074375117,1,True,4.7498,317.5,5.9621751
123,T10_241.01,10,241.01,241.01_10,13789514.586336,6211.5334,0.004749799999999999,0.3175,0.3175,547.7347090808966,6340725.8999999985,-0.078,6340725.8999999985,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,356.8084,608.6241187356576,1562.6001257440564,1205.7917257440563,60.88940965476104,1,True,4.7498,317.5,6.340725899999999
124,T10_242.01,10,242.01,242.01_10,13789514.586336,6238.657999999999,0.004749799999999999,0.3175,0.3175,529.3024102089416,7318648.799999999,-0.124,7318648.799999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,447.2898,608.6241187356576,1562.6001257440564,1115.3103257440564,79.32170852671595,1,True,4.7498,317.5,7.318648799999999
125,T10_243.01,10,243.01,243.01_10,13789514.586336,6428.5302,0.004749799999999999,0.3175,0.3175,513.6710445405431,7192465.199999999,-0.206,7192465.199999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,521.2566,608.6241187356576,1562.6001257440564,1041.3435257440565,94.95307419511448,1,True,4.7498,317.5,7.192465199999999
126,T10_244.01,10,244.01,244.01_10,13789514.586336,6523.466299999999,0.004749799999999999,0.3175,0.3175,470.8914192586375,8612030.7,-0.336,8612030.7,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,715.0124,608.6241187356576,1562.6001257440564,847.5877257440565,137.7326994770201,1,True,4.7498,317.5,8.6120307
127,T10_245.01,10,245.01,245.01_10,13789514.586336,6984.584500000001,0.004749799999999999,0.3175,0.3175,458.0774928141943,10757151.9,-0.334,10757151.9,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,771.3016000000001,608.6241187356576,1562.6001257440564,791.2985257440563,150.54662592146332,1,True,4.7498,317.5,10.7571519
128,T10_246.01,10,246.01,246.01_10,13789514.586336,7011.7091,0.004749799999999999,0.3175,0.3175,457.49169905535626,10725606.0,-0.338,10725606.0,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,773.8602,608.6241187356576,1562.6001257440564,788.7399257440564,151.13241968030133,1,True,4.7498,317.5,10.725605999999999
129,T10_247.01,10,247.01,247.01_10,13789514.586336,7025.2714,0.004749799999999999,0.3175,0.3175,576.102335699367,4921160.399999999,-0.018,4921160.399999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,207.014,608.6241187356576,1562.6001257440564,1355.5861257440565,32.52178303629057,1,True,4.7498,317.5,4.9211604
130,T10_248.01,10,248.01,248.01_10,13789514.586336,7106.6452,0.004749799999999999,0.3175,0.3175,435.7994373536233,9968504.4,-0.457,9968504.4,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,867.8306000000001,608.6241187356576,1562.6001257440564,694.7695257440563,172.82468138203427,1,True,4.7498,317.5,9.9685044
131,T10_249.01,10,249.01,249.01_10,13789514.586336,7364.3288999999995,0.004749799999999999,0.3175,0.3175,398.2130443135018,14763481.199999997,-0.456,14763481.199999997,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,1027.8594,608.6241187356576,1562.6001257440564,534.7407257440564,210.41107442215576,1,True,4.7498,317.5,14.763481199999998
