row_No_M,key,TableNo,ExptNo,tmA_No_TableNo,tmB_P_Pa,tmN_G_kg_m2s,tmQ_DH_m,tmR_L_DNB_m,tmBR_L_m,tmT_Tin_K,tmBE_qM_W_m2,tmBH_x_Mes,seed_tmS_q_in_W_m2,seed_tmX_f,seed_tmAC_Tw,seed_tmAG_y_star,seed_tmAP_UB,const_tmV_fbeta,const_tmBG_Fform,const_tmBI_Acorr,const_tmBJ_sigcorr,const_tmBK_Fcorr,const_tmBQ_F2,QA_Pressure_MPa,QA_Hsub_kJ_kg,QA_Tsat_K_IF97,QA_hf_sat_kJ_kg,QA_h_in_kJ_kg,QA_Tsub_K,QA_IF97_region,QA_Tin_lt_Tsat,prov_D_mm,prov_L_mm,prov_qCHF_MW_m2
15,T9_22.01,9,22.01,22.01_9,12065825.263044,2325.93445,0.0019049999999999998,0.6959599999999999,0.6959599999999999,298.7377064748906,2104111.53,-0.045,2104111.53,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,1375.5964,598.247237169232,1493.9908817339422,118.39448173394226,299.5095306943414,1,True,1.9049999999999998,695.9599999999999,2.10411153
16,T9_23.01,9,23.01,23.01_9,12065825.263044,2454.7763,0.0019049999999999998,0.6959599999999999,0.6959599999999999,297.6164255805921,2160894.15,-0.079,2160894.15,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,1380.2484,598.247237169232,1493.9908817339422,113.74248173394221,300.6308115886399,1,True,1.9049999999999998,695.9599999999999,2.16089415
17,T9_24.01,9,24.01,24.01_9,12065825.263044,2739.5846,0.0019049999999999998,0.6959599999999999,0.6959599999999999,300.41963647944596,2460580.1999999997,-0.047,2460580.1999999997,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,1368.6184,598.247237169232,1493.9908817339422,125.3724817339421,297.82760068978604,1,True,1.9049999999999998,695.9599999999999,2.4605802
18,T9_25.01,9,25.01,25.01_9,12065825.263044,2834.5207,0.0019049999999999998,0.6959599999999999,0.6959599999999999,297.6164255805921,2548908.72,-0.056,2548908.72,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,1380.2484,598.247237169232,1493.9908817339422,113.74248173394221,300.6308115886399,1,True,1.9049999999999998,695.9599999999999,2.54890872
19,T9_26.01,9,26.01,26.01_9,12065825.263044,3295.6389000000004,0.0019049999999999998,0.6959599999999999,0.6959599999999999,297.1118526753824,3006324.2699999996,-0.042,3006324.2699999996,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,1382.3418,598.247237169232,1493.9908817339422,111.64908173394224,301.1353844938496,1,True,1.9049999999999998,695.9599999999999,3.0063242699999995
20,T9_27.01,9,27.01,27.01_9,12065825.263044,3471.9488,0.0019049999999999998,0.6959599999999999,0.6959599999999999,294.30874222031076,3091498.1999999997,-0.078,3091498.1999999997,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,1393.9718,598.247237169232,1493.9908817339422,100.01908173394213,303.93849494892123,1,True,1.9049999999999998,695.9599999999999,3.0914981999999998
21,T9_28.01,9,28.01,28.01_9,12065825.263044,4000.8785000000003,0.0019049999999999998,0.6959599999999999,0.6959599999999999,299.8589929883244,3615160.1399999997,-0.043,3615160.1399999997,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,1370.9444,598.247237169232,1493.9908817339422,123.04648173394207,298.3882441809076,1,True,1.9049999999999998,695.9599999999999,3.6151601399999995
22,T9_29.01,9,29.01,29.01_9,12065825.263044,4028.0031000000004,0.0019049999999999998,0.6959599999999999,0.6959599999999999,297.1118526753824,3671942.7599999993,-0.042,3671942.7599999993,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,1382.3418,598.247237169232,1493.9908817339422,111.64908173394224,301.1353844938496,1,True,1.9049999999999998,695.9599999999999,3.6719427599999994
23,T9_3.01,9,3.01,3.01_9,12065825.263044,2373.4025,0.0019049999999999998,0.15239999999999998,0.15239999999999998,489.7437454865161,3974783.4,-0.023,3974783.4,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,562.892,598.247237169232,1493.9908817339422,931.0988817339421,108.50349168271589,1,True,1.9049999999999998,152.39999999999998,3.9747833999999997
24,T9_30.01,9,30.01,30.01_9,12065825.263044,4109.3769,0.0019049999999999998,0.6959599999999999,0.6959599999999999,297.6164255805921,3653015.2199999993,-0.068,3653015.2199999993,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,1380.2484,598.247237169232,1493.9908817339422,113.74248173394221,300.6308115886399,1,True,1.9049999999999998,695.9599999999999,3.6530152199999995
