scope,target,model,xcols,N,k,R2,adj_R2,intercept,beta_Tsub_K,std_beta_Tsub_K,beta_G,std_beta_G,beta_x_Mes_input,std_beta_x_Mes_input,beta_q_M_MWm2_input,std_beta_q_M_MWm2_input,beta_q_P_MWm2,std_beta_q_P_MWm2,beta_L_DNB_over_DH_input,std_beta_L_DNB_over_DH_input
Table9,PM_noF1,Tsub_only,Tsub_K,30,1,0.7833266211704684,0.7755882862122708,0.9893947629380173,0.001707558338264148,0.8850574112284856,,,,,,,,,,
Table9,PM_noF1,G_only,G,30,1,0.06640700384407228,0.033064396838503485,1.4979519024507029,,,-7.479968871357474e-05,-0.2576955642692988,,,,,,,,
Table9,PM_noF1,xMes_only,x_Mes_input,30,1,0.7897438346492164,0.7822346858866884,0.9920282641575506,,,,,-7.432880715263033,-0.8886753257794527,,,,,,
Table9,PM_noF1,qM_exp_only_DIAG,q_M_MWm2_input,30,1,0.18433518382802594,0.1552042975361697,1.5480570797531117,,,,,,,-0.06791219681323264,-0.4293427346864343,,,,
Table9,PM_noF1,qP_calc_only_DIAG,q_P_MWm2,30,1,0.0020032657342087257,-0.03363947477528373,1.2372801685535346,,,,,,,,,0.00577265891256723,0.044757856675769606,,
Table9,PM_noF1,LD_only,L_DNB_over_DH_input,30,1,0.5925339282239839,0.5779815685176977,1.0927838586434562,,,,,,,,,,,0.00105230067620064,0.7697622543512926
Table9,PM_noF1,Tsub_G,Tsub_K + G,30,2,0.8861985860903023,0.877768851726621,1.270408810122474,0.0017511873104566222,0.9076710721019915,-9.332932659354408e-05,-0.32153280171381576,,,,,,,,
Table9,PM_noF1,Tsub_xMes,Tsub_K + x_Mes_input,30,2,0.9286457568235502,0.9233602573289984,0.9408105306885487,0.0009986761583729666,0.5176313544190354,,,-4.428349517281594,-0.5294535323100822,,,,,,
Table9,PM_noF1,Tsub_qM_exp_DIAG,Tsub_K + q_M_MWm2_input,30,2,0.7995553121069037,0.7847075574481558,0.8551568209076877,0.001892001652251409,0.9806576131881573,,,,,0.025193444085253015,0.15927363106040288,,,,
Table9,PM_noF1,Tsub_G_xMes,Tsub_K + G + x_Mes_input,30,3,0.9626398841403585,0.9583291015411691,1.1270451497382312,0.001174568558700878,0.6087994679765716,-5.8470027480702996e-05,-0.2014375592146912,-3.500307913069962,-0.4184968646931616,,,,,,
Table9,PM_noF1,Tsub_G_xMes_qM_DIAG,Tsub_K + G + x_Mes_input + q_M_MWm2_input,30,4,0.9819731212197598,0.9790888206149213,1.0385814302601055,0.0015751796759129418,0.8164432306309651,-8.41049703557554e-05,-0.2897535827544829,-2.5809761615191253,-0.3085815471862898,0.0329817974310119,0.20851181037256242,,,,
Table9,ln_PM_noF1,Tsub_only,Tsub_K,30,1,0.7271090373957563,0.7173629315884619,0.005256764093151383,0.0013583889670248097,0.8527068883243273,,,,,,,,,,
Table9,ln_PM_noF1,G_only,G,30,1,0.08734501592919663,0.054750195069525054,0.44479180795015155,,,-7.083243614423565e-05,-0.29554190215466325,,,,,,,,
Table9,ln_PM_noF1,xMes_only,x_Mes_input,30,1,0.794482534882271,0.7871426254137808,-0.0016287095028512364,,,,,-6.155686383750108,-0.8913374977427297,,,,,,
Table9,ln_PM_noF1,qM_exp_only_DIAG,q_M_MWm2_input,30,1,0.15592181032441776,0.125776160693147,0.43953187741363303,,,,,,,-0.05157240237134557,-0.39486935855345556,,,,
Table9,ln_PM_noF1,qP_calc_only_DIAG,q_P_MWm2,30,1,0.007213941138881186,-0.02824270382044447,0.17949383563911364,,,,,,,,,0.009045095994780842,0.08493492296388576,,
Table9,ln_PM_noF1,LD_only,L_DNB_over_DH_input,30,1,0.5285296210032522,0.5116913931819398,0.09023824321088626,,,,,,,,,,,0.0008206125814312587,0.727000427099773
Table9,ln_PM_noF1,Tsub_G,Tsub_K + G,30,2,0.8541271458766572,0.8433217492749281,0.26308626018148334,0.0013984184104919336,0.8778347294720406,-8.562936083434282e-05,-0.35728072559493845,,,,,,,,
Table9,ln_PM_noF1,Tsub_xMes,Tsub_K + x_Mes_input,30,2,0.9002365213706163,0.892846634064736,-0.038529431942111135,0.0007195139111169603,0.4516633182014089,,,-3.9910187132466524,-0.5778956905115283,,,,,,
Table9,ln_PM_noF1,Tsub_qM_exp_DIAG,Tsub_K + q_M_MWm2_input,30,2,0.7484880255898572,0.7298575089668836,-0.12196088962483649,0.001533186384912284,0.962433164017226,,,,,0.02387589378327214,0.18280821582066473,,,,
