diagnostic,ExptNo,No_TableNo,ExptNo_norm,PM,fit,resid,abs_resid,Tsub,x,G_kg_m2s,G_band,scope_tag
current187_Tsub_poly2,41.01,41.01_10,41.01,3.6053610399898135,1.7245153392073276,1.880845700782486,1.880845700782486,123.30541643666328,-0.409,5180.7986,G>4200,current_only
current187_Tsub_poly2,46.01,46.01_10,46.01,2.862189847867258,1.0693765856618744,1.7928132622053836,1.7928132622053836,69.83293932221864,-0.275,10144.6004,G>4200,current_only
current187_Tsub_poly2,44.01,44.01_10,44.01,2.4234011937527216,1.0942826319581331,1.3291185617945884,1.3291185617945884,71.4946974008999,-0.257,7635.5749,G>4200,current_only
current187_Tsub_poly2,38.01,38.01_10,38.01,2.601409107771878,1.299910674935494,1.301498432836384,1.301498432836384,86.04557897376492,-0.256,2712.46,G<=4200,current_only
current187_Tsub_poly2,259.01,259.01_10,259.01,2.941271632824189,2.0116394004622857,0.9296322323619033,0.9296322323619033,162.25628229717415,-0.459,10524.3448,G>4200,current_only
current187_Tsub_poly2,36.01,36.01_10,36.01,2.721081299499212,1.803895692432698,0.9171856070665139,0.9171856070665139,132.16438099330514,-0.338,2305.591,G<=4200,current_only
current187_Tsub_poly2,248.01,248.01_10,248.01,2.922337424121136,2.061895855581254,0.8604415685398821,0.8604415685398821,172.82163664490025,-0.457,7106.6452,G>4200,current_only
current187_Tsub_poly2,255.01,255.01_10,255.01,2.8997178471956238,2.052331509262072,0.8473863379335516,0.8473863379335516,170.60553217374678,-0.457,8652.7474,G>4200,current_only
current187_Tsub_poly2,281.01,281.01_10,281.01,1.1410285656993029,1.8540853818972836,-0.7130568161979807,0.7130568161979807,138.30891067011777,0.029,5357.1085,G>4200,current_only
current187_Tsub_poly2,258.01,258.01_10,258.01,2.3619771871542,1.7191216799006102,0.64285550725359,0.64285550725359,122.73516379156324,-0.335,9873.3544,G>4200,current_only
current187_Tsub_poly2,164.01,164.01_10,164.01,1.4179641588165113,2.002059088541986,-0.5840949297254749,0.5840949297254749,160.48483099578448,-0.005,1063.28432,G<=4200,current_only
current187_Tsub_poly2,254.01,254.01_10,254.01,2.339446636001019,1.7651465591634783,0.5743000768375408,0.5743000768375408,127.72429570818736,-0.333,8408.626,G>4200,current_only
current187_x_poly2,41.01,41.01_10,41.01,3.6053610399898135,2.5171643262308665,1.088196713758947,1.088196713758947,123.30541643666328,-0.409,5180.7986,G>4200,current_only
current187_x_poly2,253.01,253.01_10,253.01,0.0735487784385007,0.9927921322334772,-0.9192433537949765,0.9192433537949765,28.616305905947684,-0.018,8340.8145,G>4200,current_only
current187_x_poly2,46.01,46.01_10,46.01,2.862189847867258,2.1448453053302665,0.7173445425369915,0.7173445425369915,69.83293932221864,-0.275,10144.6004,G>4200,current_only
current187_x_poly2,247.01,247.01_10,247.01,0.2972374623748651,0.9927921322334772,-0.6955546698586121,0.6955546698586121,32.51873829915655,-0.018,7025.2714,G>4200,current_only
current187_x_poly2,40.01,40.01_10,40.01,0.3076875001880512,0.9590181412995563,-0.6513306411115052,0.6513306411115052,26.91818451033987,-0.012,5153.674,G>4200,current_only
current187_x_poly2,45.01,45.01_10,45.01,0.9740408016490564,1.5840736138232443,-0.6100328121741879,0.6100328121741879,36.37517080704424,-0.134,7716.948700000001,G>4200,current_only
current187_x_poly2,236.01,236.01_10,236.01,0.3589111087017025,0.9476904073593071,-0.5887792986576046,0.5887792986576046,31.979825654822093,-0.01,5791.102099999999,G>4200,current_only
current187_x_poly2,87.01,87.01_10,87.01,0.1875912390285236,0.7676517242599534,-0.5800604852314298,0.5800604852314298,25.277212571938435,0.021,4977.3641,G>4200,current_only
current187_x_poly2,289.01,289.01_10,289.01,0.4607314733227002,1.0206974038705892,-0.559965930547889,0.559965930547889,48.09146460889088,-0.023,10565.0317,G>4200,current_only
current187_x_poly2,85.01,85.01_10,85.01,0.2587613462451862,0.8031517050101936,-0.5443903587650074,0.5443903587650074,26.91818451033987,0.015,4855.3034,G>4200,current_only
current187_x_poly2,86.01,86.01_10,86.01,0.2801813853139454,0.8207840142614738,-0.5406026289475285,0.5406026289475285,27.48232308287629,0.012,4855.3034,G>4200,current_only
current187_x_poly2,38.01,38.01_10,38.01,2.601409107771878,2.0793834680333134,0.5220256397385645,0.5220256397385645,86.04557897376492,-0.256,2712.46,G<=4200,current_only
old86_noF1_Tsub_poly2,,206.01_10,206.01,0.87081555418995,1.0047672269001184,-0.1339516727101684,0.1339516727101684,129.133044361492,-0.148,3593.4,,
old86_noF1_Tsub_poly2,,17.01_10,17.01,0.893801378103543,0.760583690333537,0.13321768777000598,0.13321768777000598,75.772394947606,-0.026,3145.92,,
old86_noF1_Tsub_poly2,,213.01_10,213.01,1.16081559158642,1.0479849906499417,0.11283060093647834,0.11283060093647834,251.090091834417,-0.457,3783.24,,
old86_noF1_Tsub_poly2,,208.01_10,208.01,0.785150784150249,0.8974412790510291,-0.11229049490078014,0.11229049490078014,101.93499791303,-0.085,3606.96,,
old86_noF1_Tsub_poly2,,202.01_10,202.01,0.754567084561213,0.8629906927848596,-0.1084236082236466,0.1084236082236466,94.719875280992,-0.056,3403.56,,
old86_noF1_Tsub_poly2,,16.01_10,16.01,0.893789290786576,0.7891460522136662,0.1046432385729098,0.1046432385729098,80.747335277052,-0.027,3145.92,,
old86_noF1_Tsub_poly2,,10.01_10,10.01,1.0316230181905,0.9297226652937336,0.10190035289676636,0.10190035289676636,109.229609981511,-0.055,2454.36,,
old86_noF1_Tsub_poly2,,211.01_10,211.01,0.136490246897863,0.23306261453186017,-0.09657236763399718,0.09657236763399718,5.85325176878905,0.13,3701.88,,
old86_noF1_Tsub_poly2,,9.01_10,9.01,1.02352339857881,0.9273356969851245,0.09618770159368539,0.09618770159368539,108.669709244323,-0.05,2440.8,,
old86_noF1_Tsub_poly2,,198.01_10,198.01,0.861858417433762,0.767038614068581,0.09481980336518103,0.09481980336518103,76.878750163887,-0.09,3254.4,,
old86_noF1_Tsub_poly2,,212.01_10,212.01,0.149325050330052,0.24076051132923348,-0.09143546099918148,0.09143546099918148,6.68922694467403,0.13,3769.68,,
old86_noF1_Tsub_poly2,,51.01_10,51.01,0.154390911925375,0.24076051132923348,-0.0863695994038585,0.0863695994038585,6.68922694467403,0.137,2752.68,,
old86_noF1_x_poly2,,9.01_10,9.01,1.02352339857881,0.8082995617342077,0.21522383684460222,0.21522383684460222,108.669709244323,-0.05,2440.8,,
old86_noF1_x_poly2,,10.01_10,10.01,1.0316230181905,0.8216384850902861,0.2099845331002138,0.2099845331002138,109.229609981511,-0.055,2454.36,,
old86_noF1_x_poly2,,213.01_10,213.01,1.16081559158642,0.9906411219067195,0.1701744696797005,0.1701744696797005,251.090091834417,-0.457,3783.24,,
old86_noF1_x_poly2,,53.01_10,53.01,0.205876380506236,0.36870518572348443,-0.16282880521724843,0.16282880521724843,6.11973609892596,0.079,3403.56,,
old86_noF1_x_poly2,,54.01_10,54.01,0.22501937271263,0.38509692830439957,-0.16007755559176956,0.16007755559176956,6.68922694467403,0.075,3403.56,,
old86_noF1_x_poly2,,11.01_10,11.01,0.920759499261648,0.7608820622297926,0.15987743703185542,0.15987743703185542,113.109650695185,-0.033,3037.44,,
old86_noF1_x_poly2,,13.01_10,13.01,0.924298562785554,0.7694817726341477,0.15481679015140626,0.15481679015140626,116.95802495999,-0.036,3118.8,,
old86_noF1_x_poly2,,17.01_10,17.01,0.893801378103543,0.7404295439960233,0.15337183410751964,0.15337183410751964,75.772394947606,-0.026,3145.92,,
old86_noF1_x_poly2,,16.01_10,16.01,0.893789290786576,0.743384463225728,0.15040482756084794,0.15040482756084794,80.747335277052,-0.027,3145.92,,
old86_noF1_x_poly2,,206.01_10,206.01,0.87081555418995,1.0194166063196943,-0.14860105212974428,0.14860105212974428,129.133044361492,-0.148,3593.4,,
old86_noF1_x_poly2,,14.01_10,14.01,0.942917729607907,0.8028866869337217,0.1400310426741853,0.1400310426741853,116.392420202586,-0.048,3118.8,,
old86_noF1_x_poly2,,192.01_10,192.01,0.340723633887853,0.20417080898654838,0.1365528249013046,0.1365528249013046,20.0607617856519,0.117,2752.68,,
old86_F1_Tsub_poly2,,17.01_10,17.01,1.20830006084716,1.0208126672420414,0.18748739360511846,0.18748739360511846,75.772394947606,-0.026,3145.92,,
old86_F1_Tsub_poly2,,211.01_10,211.01,0.716442256352328,0.901355661143407,-0.18491340479107898,0.18491340479107898,5.85325176878905,0.13,3701.88,,
old86_F1_Tsub_poly2,,212.01_10,212.01,0.721007830096133,0.9030984667687538,-0.18209063667262082,0.18209063667262082,6.68922694467403,0.13,3769.68,,
old86_F1_Tsub_poly2,,51.01_10,51.01,0.74377527599154,0.9030984667687538,-0.1593231907772138,0.1593231907772138,6.68922694467403,0.137,2752.68,,
