TableNo,LD_band,P_scope,N,Mean_PM_F1,Std_PM_F1,Mean_HsubTrue,Mean_P_MPa,Mean_xeq,Mean_xMes,Mean_qM_MW_m2,Mean_LD,Min_LD,Max_LD
9,long,explore_low_T8_9,9,1.38877528441037,0.0328085180664137,1379.39553333333,12.0658252630446,NaN,-0.0555555555555556,2.920904983,365.333333333333,365.333333333333,365.333333333333
9,short_anchor,explore_low_T8_9,21,1.09574052941735,0.0646929891529525,538.867742857143,12.0658252630446,NaN,-0.0301904761904762,4.6582779,80,80,80
10,short_anchor,PWR_near_T10_12,86,0.985685720827531,0.102257920378662,338.159830232558,13.78952,NaN,-0.00461627906976744,3.95204104651163,68.5925884880311,64.5161290322581,80
11,long,PWR_near_T10_12,9,1.6512035592672,0.0520334471028486,1508.95373333333,15.5132039096288,NaN,-0.0735555555555555,2.91519167,365.333333333333,365.333333333333,365.333333333333
11,short_anchor,PWR_near_T10_12,21,1.1166926951537,0.0796851187408349,590.117276190476,15.5132039096288,NaN,-0.0358095238095238,4.70484565714286,80,80,80
12,long,PWR_near_T10_12,9,1.85720817716574,0.0971492021581801,1578.73373333333,17.2368932329209,NaN,-0.109,2.9232534,365.333333333333,365.333333333333,365.333333333333
12,short_anchor,PWR_near_T10_12,21,1.13519543278825,0.0925617171747765,621.928095238095,17.2368932329209,NaN,-0.0787619047619047,4.50655714285714,80,80,80
