TableNo,Model,Mean_P_all,Delta_long_minus_short,SE_delta,CI95_low,CI95_high
9,Hsub_linear,12.0658252630446,-0.128365551647653,0.0265731564685259,-0.180448938325964,-0.0762821649693424
11,Hsub_linear,15.5132039096288,0.0738503491610199,0.0291079335200215,0.0167987994617777,0.130901898860262
12,Hsub_linear,17.2368932329209,0.242316303810749,0.0406595491405027,0.162623587495364,0.322009020126135
9,Hsub_quad,12.0658252630446,-0.187272448950991,0.0237927600938445,-0.233906258734926,-0.140638639167055
11,Hsub_quad,15.5132039096288,-0.0335304102700602,0.0276234621030447,-0.0876723959920279,0.0206115754519075
12,Hsub_quad,17.2368932329209,0.105457825417967,0.0399156684066817,0.0272231153408713,0.183692535495064
9,Hsub_cubic,12.0658252630446,-0.0352925180358026,0.0179299454137435,-0.0704352110467399,-0.000149825024865359
11,Hsub_cubic,15.5132039096288,-0.0420458632208571,0.0232589847394695,-0.0876334733102173,0.00354174686850311
12,Hsub_cubic,17.2368932329209,-0.0280505273126207,0.0376214768027714,-0.101788621846053,0.0456875672208112
9,Hsub_LD,12.0658252630446,-0.235443867586764,0.02248247136148,-0.279509511455265,-0.191378223718264
11,Hsub_LD,15.5132039096288,-0.0170719567425034,0.0265132875111352,-0.0690380002643283,0.0348940867793215
12,Hsub_LD,17.2368932329209,0.159227491882048,0.0390632466117954,0.0826635285229294,0.235791455241167
