GroupA,GroupB,N_A,N_B,Mean_PM_F1_A,Mean_PM_F1_B,Delta_PM_F1_AminusB,Delta_Hsub_AminusB,Delta_P_AminusB,Delta_xMes_AminusB,Delta_qM_AminusB,Delta_LD_AminusB,Delta_resid_Hsub_only_AminusB,Delta_resid_Hsub_LD_AminusB,Delta_resid_Hsub_P_AminusB,Delta_resid_Hsub_xMes_AminusB,Delta_resid_Hsub_qM_AminusB,Delta_resid_Hsub_P_xMes_AminusB,Delta_resid_Hsub_P_xMes_qM_AminusB,Delta_resid_Hsub_LD_P_xMes_AminusB,Delta_resid_Hsub_LD_P_xMes_qM_AminusB,Delta_resid_Hsub_T12dummy_AminusB,Delta_resid_Hsub_LD_T12dummy_AminusB,Delta_resid_Hsub_P_xMes_T12dummy_AminusB,Delta_resid_Hsub_LD_P_xMes_T12dummy_AminusB
T12_long,T10_short,9,86,1.85720817716574,0.985685720827531,0.871522456338213,1240.57390310078,3.44737323292089,-0.104383720930233,-1.02878764651163,296.740744845302,0.196174746934997,0.105393498435972,0.17085214465045,0.129330248644844,0.0758090179844972,0.10998293566854,0.0657027864829186,0.0618789620890427,0.0612894128655955,0.16121660898401,0.0566935635611134,0.0847856813115521,0.0651326502150563
T12_long,T11_short,9,21,1.85720817716574,1.1166926951537,0.740515482012041,988.616457142857,1.72368932329209,-0.0731904761904762,-1.78159225714286,285.333333333333,0.202329197308681,0.0581390682179452,0.204332521293332,0.140768279145375,0.045570317115852,0.143962466572073,0.0337483931462075,0.0253869752944615,0.0229596827395301,0.161325204272658,-0.000457642277564084,0.0742861584333154,0.0347253352461463
T12_long,T12_short,9,21,1.85720817716574,1.13519543278825,0.722012744377492,956.805638095238,-7.105427357601e-15,-0.0302380952380953,-1.58330374285714,285.333333333333,0.201143738172699,0.0480926760878035,0.239238031244696,0.107875872583231,0.0583460020215925,0.141804661298915,0.0951051171981479,0.0906515846752568,0.0903791771916982,0.224102806560129,0.0717617005082832,0.121122401873646,0.0930466431643665
T12_long,T11_long,9,9,1.85720817716574,1.6512035592672,0.206004617898545,69.78,1.7236893232921,-0.0354444444444445,0.00806172999999921,0,0.168017551554196,0.187454834932749,0.133438288762585,0.188797492950719,0.165417802846976,0.159589116310283,0.129792721203991,0.128063547840339,0.126966185090224,0.10496558114797,0.10677934476063,0.109284568027438,0.13608305180918
