GroupA,GroupB,N_A,N_B,Mean_PM_F1_A,Mean_PM_F1_B,Delta_PM_F1_AminusB,Delta_Hsub_AminusB,Delta_P_AminusB,Delta_xMes_AminusB,Delta_qM_AminusB,Delta_LD_AminusB,Delta_resid_Hsub_only_AminusB,Delta_resid_Hsub_LD_AminusB,Delta_resid_Hsub_P_AminusB,Delta_resid_Hsub_xMes_AminusB,Delta_resid_Hsub_P_xMes_AminusB,Delta_resid_Hsub_LD_P_xMes_AminusB,Delta_resid_Hsub_T12dummy_AminusB,Delta_resid_Hsub_LD_T12dummy_AminusB,Delta_resid_Hsub_qM_DIAG_ONLY_AminusB,Delta_resid_Hsub_P_xMes_qM_DIAG_ONLY_AminusB,Delta_resid_Hsub_LD_P_xMes_qM_DIAG_ONLY_AminusB
T9_long,T9_short,9,21,1.38877528441037,1.09574052941735,0.293034754993019,840.52779047619,5.32907051820075e-15,-0.0253650793650794,-1.737372917,285.333333333333,-0.128365551647653,-0.235443867586764,-0.108636358356787,-0.178181507298907,-0.160560878983147,-0.23781720059611,-0.108034316968176,-0.223130810025941,-0.238132028643773,-0.218160277755731,-0.207465677816453
T12_long,T12_short,9,21,1.85720817716574,1.13519543278825,0.722012744377492,956.805638095238,-7.105427357601e-15,-0.0302380952380953,-1.58330374285714,285.333333333333,0.242316303810749,0.159227491882048,0.264774815700139,0.186428149338662,0.206558025662062,0.174475802911766,0.265460142945135,0.17822032822308,0.138548516916155,0.169732086195416,0.173232373540429
T12_long,T9_long,9,9,1.85720817716574,1.38877528441037,0.468432892755378,199.3382,5.1710679698763,-0.0534444444444444,0.00234841699999944,0,0.368494283280479,0.409620126648297,0.257280742090414,0.385167767782724,0.262748003855691,0.273539176889341,0.283985542680818,0.306632777040287,0.364718239603847,0.256743058909105,0.254224998815831
T12_long,T11_long,9,9,1.85720817716574,1.6512035592672,0.206004617898545,69.78,1.7236893232921,-0.0354444444444445,0.00806172999999921,0,0.171020273858323,0.185416718444491,0.134027348833911,0.18690916027047,0.147092925019762,0.13595003985733,0.083377694974317,0.0749866776198597,0.170087272622701,0.123417772860408,0.123840040893172
