TableNo,N_short,N_long,Mean_PM_F1_short,Mean_PM_F1_long,Delta_PM_F1_long_minus_short,Mean_Hsub_short,Mean_Hsub_long,Delta_Hsub_long_minus_short,Mean_P_short,Mean_P_long,Delta_P_long_minus_short,Mean_xMes_short,Mean_xMes_long,Delta_xMes_long_minus_short,Mean_qM_short,Mean_qM_long,Delta_qM_long_minus_short,Mean_LD_short,Mean_LD_long,Delta_LD_long_minus_short,Delta_resid_Hsub_only_long_minus_short,Delta_resid_Hsub_LD_long_minus_short,Delta_resid_Hsub_P_long_minus_short,Delta_resid_Hsub_xMes_long_minus_short,Delta_resid_Hsub_P_xMes_long_minus_short,Delta_resid_Hsub_LD_P_xMes_long_minus_short,Delta_resid_Hsub_T12dummy_long_minus_short,Delta_resid_Hsub_LD_T12dummy_long_minus_short,Delta_resid_Hsub_qM_DIAG_ONLY_long_minus_short,Delta_resid_Hsub_P_xMes_qM_DIAG_ONLY_long_minus_short,Delta_resid_Hsub_LD_P_xMes_qM_DIAG_ONLY_long_minus_short
9,21,9,1.09574052941735,1.38877528441037,0.293034754993019,538.867742857143,1379.39553333333,840.52779047619,12.0658252630446,12.0658252630446,5.32907051820075e-15,-0.0301904761904762,-0.0555555555555556,-0.0253650793650794,4.6582779,2.920904983,-1.737372917,80,365.333333333333,285.333333333333,-0.128365551647653,-0.235443867586764,-0.108636358356787,-0.178181507298907,-0.160560878983147,-0.23781720059611,-0.108034316968176,-0.223130810025941,-0.238132028643773,-0.218160277755731,-0.207465677816453
11,21,9,1.1166926951537,1.6512035592672,0.534510864113496,590.117276190476,1508.95373333333,918.836457142857,15.5132039096288,15.5132039096288,-7.105427357601e-15,-0.0358095238095238,-0.0735555555555555,-0.0377460317460317,4.70484565714286,2.91519167,-1.78965398714286,80,365.333333333333,285.333333333333,0.0738503491610199,-0.0170719567425034,0.0954176337541873,0.0254103333756514,0.045198647244222,-0.00997699004010492,0.0960757649698744,-0.000260324598324153,-0.0402570360055835,-0.0221761575246583,-0.0164508596168573
12,21,9,1.13519543278825,1.85720817716574,0.722012744377492,621.928095238095,1578.73373333333,956.805638095238,17.2368932329209,17.2368932329209,-7.105427357601e-15,-0.0787619047619047,-0.109,-0.0302380952380953,4.50655714285714,2.9232534,-1.58330374285714,80,365.333333333333,285.333333333333,0.242316303810749,0.159227491882048,0.264774815700139,0.186428149338662,0.206558025662062,0.174475802911766,0.265460142945135,0.17822032822308,0.138548516916155,0.169732086195416,0.173232373540429
