GroupA,GroupB,N_A,N_B,Delta_PM_F1_AminusB,Delta_PM_noF1_AminusB,Delta_F1_delta_AminusB,Delta_Hsub_AminusB,Delta_P_AminusB,Delta_xMes_AminusB,Delta_qM_AminusB,Delta_LD_AminusB
T8_middle,T9_short,16,21,-0.358231567968047,-0.38058680289941,0.0223552349313639,-139.886055357143,-1.02128592405052,0.263815476190476,-2.73699412291151,83.0434782608695
T8_middle,T9_long,16,9,-0.651266322961065,-0.842728963707993,0.191462640746927,-980.413845833333,-1.02128592405053,0.289180555555556,-0.999621205911508,-202.289855072464
T8_middle,T9_all,16,30,-0.446141994465952,-0.519229451141985,0.0730874566760329,-392.0443925,-1.02128592405052,0.271425,-2.21578224781151,-2.55652173913046
T9_long,T9_short,9,21,0.293034754993019,0.462142160808582,-0.169107405815563,840.52779047619,5.32907051820075e-15,-0.0253650793650794,-1.737372917,285.333333333333
