MatchType,N,Mean_Distance,Mean_Delta_PM_F1,Mean_Delta_PM_noF1,Mean_Delta_xMes
Hsub_P_xMes,16,2.69034310290141,-0.384758446312852,-0.293598153236166,0.234375
Hsub_xMes,16,1.56228484786965,-0.384758446312852,-0.293598153236166,0.234375
P_xMes,16,2.64467625759221,-0.381067815778969,-0.278134260825636,0.229625
