Group,N,Mean_PM_F1,Mean_HsubTrue,Mean_LD,Mean_P_MPa,Mean_xMes,Mean_resid_HsubOnly,Mean_resid_HsubLD
T9_short,21,1.09574052941735,538.867742857143,80,12.0658252630446,-0.0301904761904762,0.124105931258525,0.0562687798375826
T8_middle,16,0.737508961449301,398.9816875,163.04347826087,11.0445393389941,0.233625,-0.16546435024979,-0.104170612221883
T9_long,9,1.38877528441037,1379.39553333333,365.333333333333,12.0658252630446,-0.0555555555555556,0.0045783386186238,0.0538983798845445
