GroupA,GroupB,N_A,N_B,Delta_PM_F1_AminusB,Delta_Hsub_AminusB,Delta_P_AminusB,Delta_xMes_AminusB,Delta_qM_AminusB,Delta_LD_AminusB,Source_A,Source_B
T8_middle,T9_all,16,30,-0.446141994465952,-392.0443925,-1.02128592405052,0.271425,-2.21578224781151,-2.55652173913046,03,01
T8_middle,T9_short,16,21,-0.358231567968047,-139.886055357143,-1.02128592405052,0.263815476190476,-2.73699412291151,83.0434782608695,03,01
T8_middle,T9_long,16,9,-0.651266322961065,-980.413845833333,-1.02128592405053,0.289180555555556,-0.999621205911508,-202.289855072464,03,01
